rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,73,8,0.01,0,0.25,none,82.7780914307,0,82.7780914307,82.7780914307,79.8418960571,0,79.8418960571,79.8418960571,1
2,76,8,0.01,0.0001,0.25,none,82.7780914307,0,82.7780914307,82.7780914307,79.8418960571,0,79.8418960571,79.8418960571,1
3,79,8,0.01,0.001,0.25,none,82.7780914307,0,82.7780914307,82.7780914307,79.8418960571,0,79.8418960571,79.8418960571,1
4,82,8,0.01,0.01,0.25,none,82.7780914307,0,82.7780914307,82.7780914307,79.8418960571,0,79.8418960571,79.8418960571,1
5,10,2,0.01,0.01,0.25,none,82.1005020142,0,82.1005020142,82.1005020142,79.16431427,0,79.16431427,79.16431427,1
6,7,2,0.01,0.001,0.25,none,81.9875793457,0,81.9875793457,81.9875793457,79.16431427,0,79.16431427,79.16431427,1
7,40,4,0.01,0.0001,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.0112915039,0,80.0112915039,80.0112915039,1
8,43,4,0.01,0.001,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.0112915039,0,80.0112915039,80.0112915039,1
9,46,4,0.01,0.01,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.0112915039,0,80.0112915039,80.0112915039,1
10,37,4,0.01,0,0.25,none,81.8181838989,0,81.8181838989,81.8181838989,80.0677566528,0,80.0677566528,80.0677566528,1
11,4,2,0.01,0.0001,0.25,none,81.76171875,0,81.76171875,81.76171875,78.9949188232,0,78.9949188232,78.9949188232,1
12,5,2,0.01,0.0001,0.5,none,81.76171875,0,81.76171875,81.76171875,80.9711990356,0,80.9711990356,80.9711990356,1
13,8,2,0.01,0.001,0.5,none,81.76171875,0,81.76171875,81.76171875,80.8582687378,0,80.8582687378,80.8582687378,1
14,11,2,0.01,0.01,0.5,none,81.76171875,0,81.76171875,81.76171875,80.7453384399,0,80.7453384399,80.7453384399,1
15,1,2,0.01,0,0.25,none,81.7052459717,0,81.7052459717,81.7052459717,79.16431427,0,79.16431427,79.16431427,1
