rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,73,8,0.01,0,0.25,none,82.6086959839,0,82.6086959839,82.6086959839,79.8418960571,0,79.8418960571,79.8418960571,1
2,76,8,0.01,0.0001,0.25,none,82.552230835,0,82.552230835,82.552230835,79.8418960571,0,79.8418960571,79.8418960571,1
3,79,8,0.01,0.001,0.25,none,82.552230835,0,82.552230835,82.552230835,79.8418960571,0,79.8418960571,79.8418960571,1
4,82,8,0.01,0.01,0.25,none,82.552230835,0,82.552230835,82.552230835,79.8418960571,0,79.8418960571,79.8418960571,1
5,1,2,0.01,0,0.25,none,82.2134399414,0,82.2134399414,82.2134399414,78.8255233765,0,78.8255233765,78.8255233765,1
6,7,2,0.01,0.001,0.25,none,81.76171875,0,81.76171875,81.76171875,78.9384460449,0,78.9384460449,78.9384460449,1
7,37,4,0.01,0,0.25,none,81.76171875,0,81.76171875,81.76171875,80.4065475464,0,80.4065475464,80.4065475464,1
8,40,4,0.01,0.0001,0.25,none,81.76171875,0,81.76171875,81.76171875,80.4065475464,0,80.4065475464,80.4065475464,1
9,43,4,0.01,0.001,0.25,none,81.76171875,0,81.76171875,81.76171875,80.4065475464,0,80.4065475464,80.4065475464,1
10,46,4,0.01,0.01,0.25,none,81.76171875,0,81.76171875,81.76171875,80.4065475464,0,80.4065475464,80.4065475464,1
11,4,2,0.01,0.0001,0.25,none,81.7052459717,0,81.7052459717,81.7052459717,78.8255233765,0,78.8255233765,78.8255233765,1
12,10,2,0.01,0.01,0.25,none,81.7052459717,0,81.7052459717,81.7052459717,78.8255233765,0,78.8255233765,78.8255233765,1
13,49,4,0.001,0,0.25,none,81.5358505249,0,81.5358505249,81.5358505249,80.688873291,0,80.688873291,80.688873291,1
14,52,4,0.001,0.0001,0.25,none,81.5358505249,0,81.5358505249,81.5358505249,80.688873291,0,80.688873291,80.688873291,1
15,55,4,0.001,0.001,0.25,none,81.5358505249,0,81.5358505249,81.5358505249,80.688873291,0,80.688873291,80.688873291,1
16,58,4,0.001,0.01,0.25,none,81.5358505249,0,81.5358505249,81.5358505249,80.688873291,0,80.688873291,80.688873291,1
17,5,2,0.01,0.0001,0.5,none,81.479385376,0,81.479385376,81.479385376,80.1806869507,0,80.1806869507,80.1806869507,1
18,8,2,0.01,0.001,0.5,none,81.479385376,0,81.479385376,81.479385376,80.2371520996,0,80.2371520996,80.2371520996,1
19,11,2,0.01,0.01,0.5,none,81.479385376,0,81.479385376,81.479385376,80.2371520996,0,80.2371520996,80.2371520996,1
20,85,8,0.001,0,0.25,none,81.4229278564,0,81.4229278564,81.4229278564,79.6725006104,0,79.6725006104,79.6725006104,1
21,88,8,0.001,0.0001,0.25,none,81.4229278564,0,81.4229278564,81.4229278564,79.6725006104,0,79.6725006104,79.6725006104,1
22,94,8,0.001,0.01,0.25,none,81.4229278564,0,81.4229278564,81.4229278564,79.6725006104,0,79.6725006104,79.6725006104,1
23,91,8,0.001,0.001,0.25,none,81.3664550781,0,81.3664550781,81.3664550781,79.6725006104,0,79.6725006104,79.6725006104,1
24,13,2,0.001,0,0.25,none,81.2535247803,0,81.2535247803,81.2535247803,79.5595703125,0,79.5595703125,79.5595703125,1
25,41,4,0.01,0.0001,0.5,none,81.1970672607,0,81.1970672607,81.1970672607,79.2207794189,0,79.2207794189,79.2207794189,1
26,16,2,0.001,0.0001,0.25,none,81.1405944824,0,81.1405944824,81.1405944824,79.5595703125,0,79.5595703125,79.5595703125,1
27,19,2,0.001,0.001,0.25,none,81.1405944824,0,81.1405944824,81.1405944824,79.5595703125,0,79.5595703125,79.5595703125,1
28,22,2,0.001,0.01,0.25,none,81.1405944824,0,81.1405944824,81.1405944824,79.6160354614,0,79.6160354614,79.6160354614,1
29,44,4,0.01,0.001,0.5,none,81.1405944824,0,81.1405944824,81.1405944824,79.2207794189,0,79.2207794189,79.2207794189,1
30,47,4,0.01,0.01,0.5,none,81.1405944824,0,81.1405944824,81.1405944824,79.2772445679,0,79.2772445679,79.2772445679,1
31,2,2,0.01,0,0.5,none,81.0841293335,0,81.0841293335,81.0841293335,79.3337097168,0,79.3337097168,79.3337097168,1
32,38,4,0.01,0,0.5,none,80.9711990356,0,80.9711990356,80.9711990356,79.3337097168,0,79.3337097168,79.3337097168,1
33,14,2,0.001,0,0.5,none,80.2936172485,0,80.2936172485,80.2936172485,77.9220733643,0,77.9220733643,77.9220733643,1
34,20,2,0.001,0.001,0.5,none,80.2371520996,0,80.2371520996,80.2371520996,77.9220733643,0,77.9220733643,77.9220733643,1
35,17,2,0.001,0.0001,0.5,none,80.1806869507,0,80.1806869507,80.1806869507,77.9220733643,0,77.9220733643,77.9220733643,1
36,23,2,0.001,0.01,0.5,none,80.1242218018,0,80.1242218018,80.1242218018,77.9785385132,0,77.9785385132,77.9785385132,1
37,74,8,0.01,0,0.5,none,79.4466400146,0,79.4466400146,79.4466400146,77.0186309814,0,77.0186309814,77.0186309814,1
38,77,8,0.01,0.0001,0.5,none,79.4466400146,0,79.4466400146,79.4466400146,77.0186309814,0,77.0186309814,77.0186309814,1
39,80,8,0.01,0.001,0.5,none,79.4466400146,0,79.4466400146,79.4466400146,77.0186309814,0,77.0186309814,77.0186309814,1
40,83,8,0.01,0.01,0.5,none,79.4466400146,0,79.4466400146,79.4466400146,77.0186309814,0,77.0186309814,77.0186309814,1
41,109,16,0.01,0,0.25,none,79.3901748657,0,79.3901748657,79.3901748657,77.0186309814,0,77.0186309814,77.0186309814,1
42,112,16,0.01,0.0001,0.25,none,79.3337097168,0,79.3337097168,79.3337097168,77.0186309814,0,77.0186309814,77.0186309814,1
43,115,16,0.01,0.001,0.25,none,79.3337097168,0,79.3337097168,79.3337097168,77.0186309814,0,77.0186309814,77.0186309814,1
44,118,16,0.01,0.01,0.25,none,79.3337097168,0,79.3337097168,79.3337097168,77.0751037598,0,77.0751037598,77.0751037598,1
45,6,2,0.01,0.0001,0.75,none,79.16431427,0,79.16431427,79.16431427,76.2845840454,0,76.2845840454,76.2845840454,1
46,9,2,0.01,0.001,0.75,none,79.16431427,0,79.16431427,79.16431427,76.1716537476,0,76.1716537476,76.1716537476,1
47,12,2,0.01,0.01,0.75,none,79.16431427,0,79.16431427,79.16431427,76.2281188965,0,76.2281188965,76.2281188965,1
48,3,2,0.01,0,0.75,none,79.1078414917,0,79.1078414917,79.1078414917,76.3975143433,0,76.3975143433,76.3975143433,1
49,50,4,0.001,0,0.5,none,78.6561279297,0,78.6561279297,78.6561279297,76.1716537476,0,76.1716537476,76.1716537476,1
50,53,4,0.001,0.0001,0.5,none,78.6561279297,0,78.6561279297,78.6561279297,76.1716537476,0,76.1716537476,76.1716537476,1
51,56,4,0.001,0.001,0.5,none,78.6561279297,0,78.6561279297,78.6561279297,76.1716537476,0,76.1716537476,76.1716537476,1
52,59,4,0.001,0.01,0.5,none,78.6561279297,0,78.6561279297,78.6561279297,76.1716537476,0,76.1716537476,76.1716537476,1
53,64,4,0.0001,0.0001,0.25,none,77.5832824707,0,77.5832824707,77.5832824707,75.6634674072,0,75.6634674072,75.6634674072,1
54,67,4,0.0001,0.001,0.25,none,77.5832824707,0,77.5832824707,77.5832824707,75.6634674072,0,75.6634674072,75.6634674072,1
55,70,4,0.0001,0.01,0.25,none,77.5832824707,0,77.5832824707,77.5832824707,75.6634674072,0,75.6634674072,75.6634674072,1
56,61,4,0.0001,0,0.25,none,77.4703598022,0,77.4703598022,77.4703598022,75.4376068115,0,75.4376068115,75.4376068115,1
57,97,8,0.0001,0,0.25,none,76.6798400879,0,76.6798400879,76.6798400879,75.3246688843,0,75.3246688843,75.3246688843,1
58,100,8,0.0001,0.0001,0.25,none,76.6798400879,0,76.6798400879,76.6798400879,75.3246688843,0,75.3246688843,75.3246688843,1
59,103,8,0.0001,0.001,0.25,none,76.6798400879,0,76.6798400879,76.6798400879,75.3246688843,0,75.3246688843,75.3246688843,1
60,106,8,0.0001,0.01,0.25,none,76.6798400879,0,76.6798400879,76.6798400879,75.3246688843,0,75.3246688843,75.3246688843,1
61,25,2,0.0001,0,0.25,none,76.56690979,0,76.56690979,76.56690979,72.3884811401,0,72.3884811401,72.3884811401,1
62,28,2,0.0001,0.0001,0.25,none,76.5104446411,0,76.5104446411,76.5104446411,72.3320159912,0,72.3320159912,72.3320159912,1
63,31,2,0.0001,0.001,0.25,none,76.5104446411,0,76.5104446411,76.5104446411,72.3320159912,0,72.3320159912,72.3320159912,1
64,34,2,0.0001,0.01,0.25,none,76.5104446411,0,76.5104446411,76.5104446411,72.3320159912,0,72.3320159912,72.3320159912,1
65,62,4,0.0001,0,0.5,none,76.3975143433,0,76.3975143433,76.3975143433,73.6307144165,0,73.6307144165,73.6307144165,1
66,65,4,0.0001,0.0001,0.5,none,76.3975143433,0,76.3975143433,76.3975143433,73.5742492676,0,73.5742492676,73.5742492676,1
67,68,4,0.0001,0.001,0.5,none,76.3975143433,0,76.3975143433,76.3975143433,73.5742492676,0,73.5742492676,73.5742492676,1
68,71,4,0.0001,0.01,0.5,none,76.3975143433,0,76.3975143433,76.3975143433,73.5742492676,0,73.5742492676,73.5742492676,1
69,26,2,0.0001,0,0.5,none,75.7199249268,0,75.7199249268,75.7199249268,72.5578765869,0,72.5578765869,72.5578765869,1
