rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,137,16,0.0001,0.0001,0.5,none,88.1422958374,0,88.1422958374,88.1422958374,85.8836746216,0,85.8836746216,85.8836746216,1
2,135,16,0.0001,0,0.75,none,88.0858230591,0,88.0858230591,88.0858230591,86.2224731445,0,86.2224731445,86.2224731445,1
3,140,16,0.0001,0.001,0.5,none,87.9729003906,0,87.9729003906,87.9729003906,85.9401473999,0,85.9401473999,85.9401473999,1
4,143,16,0.0001,0.01,0.5,none,87.9729003906,0,87.9729003906,87.9729003906,85.8836746216,0,85.8836746216,85.8836746216,1
5,134,16,0.0001,0,0.5,none,87.8599624634,0,87.8599624634,87.8599624634,85.9966125488,0,85.9966125488,85.9966125488,1
6,141,16,0.0001,0.001,0.75,none,87.7470321655,0,87.7470321655,87.7470321655,86.1095428467,0,86.1095428467,86.1095428467,1
7,138,16,0.0001,0.0001,0.75,none,87.6905670166,0,87.6905670166,87.6905670166,86.0530700684,0,86.0530700684,86.0530700684,1
8,144,16,0.0001,0.01,0.75,none,87.5776443481,0,87.5776443481,87.5776443481,86.1660079956,0,86.1660079956,86.1660079956,1
9,133,16,0.0001,0,0.25,none,87.408241272,0,87.408241272,87.408241272,85.9401473999,0,85.9401473999,85.9401473999,1
10,136,16,0.0001,0.0001,0.25,none,87.408241272,0,87.408241272,87.408241272,85.9401473999,0,85.9401473999,85.9401473999,1
11,139,16,0.0001,0.001,0.25,none,87.408241272,0,87.408241272,87.408241272,85.9401473999,0,85.9401473999,85.9401473999,1
12,142,16,0.0001,0.01,0.25,none,87.408241272,0,87.408241272,87.408241272,85.8836746216,0,85.8836746216,85.8836746216,1
13,130,16,0.001,0.01,0.25,none,87.351776123,0,87.351776123,87.351776123,84.8673019409,0,84.8673019409,84.8673019409,1
14,96,8,0.001,0.01,0.75,none,86.6741943359,0,86.6741943359,86.6741943359,85.3754959106,0,85.3754959106,85.3754959106,1
15,93,8,0.001,0.001,0.75,none,86.5612640381,0,86.5612640381,86.5612640381,85.5448913574,0,85.5448913574,85.5448913574,1
16,87,8,0.001,0,0.75,none,86.3354034424,0,86.3354034424,86.3354034424,85.2061004639,0,85.2061004639,85.2061004639,1
17,90,8,0.001,0.0001,0.75,none,86.1660079956,0,86.1660079956,86.1660079956,85.1496353149,0,85.1496353149,85.1496353149,1
18,131,16,0.001,0.01,0.5,none,86.1660079956,0,86.1660079956,86.1660079956,84.3591156006,0,84.3591156006,84.3591156006,1
19,127,16,0.001,0.001,0.25,none,86.1095428467,0,86.1095428467,86.1095428467,84.3026504517,0,84.3026504517,84.3026504517,1
20,102,8,0.0001,0.0001,0.75,none,85.9966125488,0,85.9966125488,85.9966125488,83.9073944092,0,83.9073944092,83.9073944092,1
21,86,8,0.001,0,0.5,none,85.8836746216,0,85.8836746216,85.8836746216,85.0931625366,0,85.0931625366,85.0931625366,1
22,98,8,0.0001,0,0.5,none,85.8836746216,0,85.8836746216,85.8836746216,84.8108444214,0,84.8108444214,84.8108444214,1
23,101,8,0.0001,0.0001,0.5,none,85.8836746216,0,85.8836746216,85.8836746216,84.6979064941,0,84.6979064941,84.6979064941,1
24,124,16,0.001,0.0001,0.25,none,85.8836746216,0,85.8836746216,85.8836746216,83.9638595581,0,83.9638595581,83.9638595581,1
25,12,2,0.01,0.01,0.75,none,85.8272171021,0,85.8272171021,85.8272171021,82.8910217285,0,82.8910217285,82.8910217285,1
