rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,123,16,0.001,0,0.75,none,88.5940170288,0,88.5940170288,88.5940170288,86.9565200806,0,86.9565200806,86.9565200806,1
2,131,16,0.001,0.01,0.5,none,88.5940170288,0,88.5940170288,88.5940170288,86.1660079956,0,86.1660079956,86.1660079956,1
3,130,16,0.001,0.01,0.25,none,88.4246139526,0,88.4246139526,88.4246139526,86.1095428467,0,86.1095428467,86.1095428467,1
4,125,16,0.001,0.0001,0.5,none,88.3116836548,0,88.3116836548,88.3116836548,86.617729187,0,86.617729187,86.617729187,1
5,128,16,0.001,0.001,0.5,none,88.2552185059,0,88.2552185059,88.2552185059,86.9565200806,0,86.9565200806,86.9565200806,1
6,129,16,0.001,0.001,0.75,none,88.2552185059,0,88.2552185059,88.2552185059,86.3918685913,0,86.3918685913,86.3918685913,1
7,122,16,0.001,0,0.5,none,88.1987609863,0,88.1987609863,88.1987609863,86.5047988892,0,86.5047988892,86.5047988892,1
8,132,16,0.001,0.01,0.75,none,88.1422958374,0,88.1422958374,88.1422958374,86.4483261108,0,86.4483261108,86.4483261108,1
9,126,16,0.001,0.0001,0.75,none,88.0293579102,0,88.0293579102,88.0293579102,85.9966125488,0,85.9966125488,85.9966125488,1
10,133,16,0.0001,0,0.25,none,88.0293579102,0,88.0293579102,88.0293579102,86.2224731445,0,86.2224731445,86.2224731445,1
11,136,16,0.0001,0.0001,0.25,none,88.0293579102,0,88.0293579102,88.0293579102,86.2224731445,0,86.2224731445,86.2224731445,1
12,139,16,0.0001,0.001,0.25,none,88.0293579102,0,88.0293579102,88.0293579102,86.2224731445,0,86.2224731445,86.2224731445,1
13,142,16,0.0001,0.01,0.25,none,88.0293579102,0,88.0293579102,88.0293579102,86.2224731445,0,86.2224731445,86.2224731445,1
14,141,16,0.0001,0.001,0.75,none,87.9729003906,0,87.9729003906,87.9729003906,86.617729187,0,86.617729187,86.617729187,1
15,135,16,0.0001,0,0.75,none,87.9164276123,0,87.9164276123,87.9164276123,86.5047988892,0,86.5047988892,86.5047988892,1
16,138,16,0.0001,0.0001,0.75,none,87.9164276123,0,87.9164276123,87.9164276123,86.5612640381,0,86.5612640381,86.5612640381,1
17,144,16,0.0001,0.01,0.75,none,87.9164276123,0,87.9164276123,87.9164276123,86.617729187,0,86.617729187,86.617729187,1
18,90,8,0.001,0.0001,0.75,none,87.8599624634,0,87.8599624634,87.8599624634,85.8272171021,0,85.8272171021,85.8272171021,1
19,134,16,0.0001,0,0.5,none,87.8034973145,0,87.8034973145,87.8034973145,85.7142868042,0,85.7142868042,85.7142868042,1
20,137,16,0.0001,0.0001,0.5,none,87.8034973145,0,87.8034973145,87.8034973145,85.7142868042,0,85.7142868042,85.7142868042,1
21,140,16,0.0001,0.001,0.5,none,87.8034973145,0,87.8034973145,87.8034973145,85.7142868042,0,85.7142868042,85.7142868042,1
22,143,16,0.0001,0.01,0.5,none,87.8034973145,0,87.8034973145,87.8034973145,86.0530700684,0,86.0530700684,86.0530700684,1
23,93,8,0.001,0.001,0.75,none,87.6341018677,0,87.6341018677,87.6341018677,85.9401473999,0,85.9401473999,85.9401473999,1
24,87,8,0.001,0,0.75,none,87.4647064209,0,87.4647064209,87.4647064209,85.6578140259,0,85.6578140259,85.6578140259,1
25,83,8,0.01,0.01,0.5,none,87.351776123,0,87.351776123,87.351776123,86.6741943359,0,86.6741943359,86.6741943359,1
26,108,8,0.0001,0.01,0.75,none,87.0129852295,0,87.0129852295,87.0129852295,84.3026504517,0,84.3026504517,84.3026504517,1
27,96,8,0.001,0.01,0.75,none,86.9565200806,0,86.9565200806,86.9565200806,85.8272171021,0,85.8272171021,85.8272171021,1
28,99,8,0.0001,0,0.75,none,86.8435897827,0,86.8435897827,86.8435897827,84.2461853027,0,84.2461853027,84.2461853027,1
29,102,8,0.0001,0.0001,0.75,none,86.8435897827,0,86.8435897827,86.8435897827,84.2461853027,0,84.2461853027,84.2461853027,1
30,105,8,0.0001,0.001,0.75,none,86.8435897827,0,86.8435897827,86.8435897827,84.3026504517,0,84.3026504517,84.3026504517,1
31,119,16,0.01,0.01,0.5,none,86.7306594849,0,86.7306594849,86.7306594849,86.2224731445,0,86.2224731445,86.2224731445,1
32,48,4,0.01,0.01,0.75,none,86.617729187,0,86.617729187,86.617729187,85.3190231323,0,85.3190231323,85.3190231323,1
33,12,2,0.01,0.01,0.75,none,86.3354034424,0,86.3354034424,86.3354034424,84.5849838257,0,84.5849838257,84.5849838257,1
34,97,8,0.0001,0,0.25,none,86.3354034424,0,86.3354034424,86.3354034424,83.9638595581,0,83.9638595581,83.9638595581,1
35,100,8,0.0001,0.0001,0.25,none,86.3354034424,0,86.3354034424,86.3354034424,83.9638595581,0,83.9638595581,83.9638595581,1
36,103,8,0.0001,0.001,0.25,none,86.3354034424,0,86.3354034424,86.3354034424,83.9638595581,0,83.9638595581,83.9638595581,1
37,106,8,0.0001,0.01,0.25,none,86.3354034424,0,86.3354034424,86.3354034424,84.020324707,0,84.020324707,84.020324707,1
38,101,8,0.0001,0.0001,0.5,none,86.2789382935,0,86.2789382935,86.2789382935,84.1332550049,0,84.1332550049,84.1332550049,1
39,98,8,0.0001,0,0.5,none,86.2224731445,0,86.2224731445,86.2224731445,84.020324707,0,84.020324707,84.020324707,1
40,104,8,0.0001,0.001,0.5,none,86.2224731445,0,86.2224731445,86.2224731445,84.076789856,0,84.076789856,84.076789856,1
41,107,8,0.0001,0.01,0.5,none,86.2224731445,0,86.2224731445,86.2224731445,84.1332550049,0,84.1332550049,84.1332550049,1
42,121,16,0.001,0,0.25,none,86.1660079956,0,86.1660079956,86.1660079956,84.3026504517,0,84.3026504517,84.3026504517,1
43,124,16,0.001,0.0001,0.25,none,86.1095428467,0,86.1095428467,86.1095428467,84.3591156006,0,84.3591156006,84.3591156006,1
44,127,16,0.001,0.001,0.25,none,86.0530700684,0,86.0530700684,86.0530700684,84.3591156006,0,84.3591156006,84.3591156006,1
