rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,123,16,0.001,0,0.75,none,88.4246139526,0,88.4246139526,88.4246139526,87.351776123,0,87.351776123,87.351776123,1
2,132,16,0.001,0.01,0.75,none,88.1987609863,0,88.1987609863,88.1987609863,86.6741943359,0,86.6741943359,86.6741943359,1
3,138,16,0.0001,0.0001,0.75,none,88.0293579102,0,88.0293579102,88.0293579102,86.0530700684,0,86.0530700684,86.0530700684,1
4,141,16,0.0001,0.001,0.75,none,88.0293579102,0,88.0293579102,88.0293579102,85.9966125488,0,85.9966125488,85.9966125488,1
5,144,16,0.0001,0.01,0.75,none,88.0293579102,0,88.0293579102,88.0293579102,85.9966125488,0,85.9966125488,85.9966125488,1
6,90,8,0.001,0.0001,0.75,none,87.9729003906,0,87.9729003906,87.9729003906,87.1259155273,0,87.1259155273,87.1259155273,1
7,128,16,0.001,0.001,0.5,none,87.9729003906,0,87.9729003906,87.9729003906,86.6741943359,0,86.6741943359,86.6741943359,1
8,133,16,0.0001,0,0.25,none,87.9729003906,0,87.9729003906,87.9729003906,86.3918685913,0,86.3918685913,86.3918685913,1
9,134,16,0.0001,0,0.5,none,87.9729003906,0,87.9729003906,87.9729003906,86.3918685913,0,86.3918685913,86.3918685913,1
10,136,16,0.0001,0.0001,0.25,none,87.9729003906,0,87.9729003906,87.9729003906,86.3918685913,0,86.3918685913,86.3918685913,1
11,137,16,0.0001,0.0001,0.5,none,87.9729003906,0,87.9729003906,87.9729003906,86.3918685913,0,86.3918685913,86.3918685913,1
12,139,16,0.0001,0.001,0.25,none,87.9729003906,0,87.9729003906,87.9729003906,86.3918685913,0,86.3918685913,86.3918685913,1
13,140,16,0.0001,0.001,0.5,none,87.9729003906,0,87.9729003906,87.9729003906,86.3918685913,0,86.3918685913,86.3918685913,1
14,142,16,0.0001,0.01,0.25,none,87.9729003906,0,87.9729003906,87.9729003906,86.2789382935,0,86.2789382935,86.2789382935,1
15,143,16,0.0001,0.01,0.5,none,87.9729003906,0,87.9729003906,87.9729003906,86.3918685913,0,86.3918685913,86.3918685913,1
16,87,8,0.001,0,0.75,none,87.9164276123,0,87.9164276123,87.9164276123,86.3918685913,0,86.3918685913,86.3918685913,1
17,125,16,0.001,0.0001,0.5,none,87.9164276123,0,87.9164276123,87.9164276123,86.3354034424,0,86.3354034424,86.3354034424,1
18,92,8,0.001,0.001,0.5,none,87.8599624634,0,87.8599624634,87.8599624634,85.8272171021,0,85.8272171021,85.8272171021,1
19,96,8,0.001,0.01,0.75,none,87.8599624634,0,87.8599624634,87.8599624634,86.4483261108,0,86.4483261108,86.4483261108,1
20,129,16,0.001,0.001,0.75,none,87.8599624634,0,87.8599624634,87.8599624634,86.4483261108,0,86.4483261108,86.4483261108,1
21,135,16,0.0001,0,0.75,none,87.8599624634,0,87.8599624634,87.8599624634,86.3354034424,0,86.3354034424,86.3354034424,1
22,47,4,0.01,0.01,0.5,none,87.8034973145,0,87.8034973145,87.8034973145,85.7707519531,0,85.7707519531,85.7707519531,1
23,122,16,0.001,0,0.5,none,87.8034973145,0,87.8034973145,87.8034973145,85.9966125488,0,85.9966125488,85.9966125488,1
24,126,16,0.001,0.0001,0.75,none,87.8034973145,0,87.8034973145,87.8034973145,85.9401473999,0,85.9401473999,85.9401473999,1
25,131,16,0.001,0.01,0.5,none,87.8034973145,0,87.8034973145,87.8034973145,86.3918685913,0,86.3918685913,86.3918685913,1
26,60,4,0.001,0.01,0.75,none,87.7470321655,0,87.7470321655,87.7470321655,85.8836746216,0,85.8836746216,85.8836746216,1
27,93,8,0.001,0.001,0.75,none,87.7470321655,0,87.7470321655,87.7470321655,86.7306594849,0,86.7306594849,86.7306594849,1
28,95,8,0.001,0.01,0.5,none,87.7470321655,0,87.7470321655,87.7470321655,86.4483261108,0,86.4483261108,86.4483261108,1
29,130,16,0.001,0.01,0.25,none,87.4647064209,0,87.4647064209,87.4647064209,86.3918685913,0,86.3918685913,86.3918685913,1
30,11,2,0.01,0.01,0.5,none,87.2953109741,0,87.2953109741,87.2953109741,84.6979064941,0,84.6979064941,84.6979064941,1
31,86,8,0.001,0,0.5,none,87.2953109741,0,87.2953109741,87.2953109741,85.8272171021,0,85.8272171021,85.8272171021,1
32,121,16,0.001,0,0.25,none,87.2953109741,0,87.2953109741,87.2953109741,84.9802398682,0,84.9802398682,84.9802398682,1
33,124,16,0.001,0.0001,0.25,none,87.2953109741,0,87.2953109741,87.2953109741,84.9802398682,0,84.9802398682,84.9802398682,1
34,127,16,0.001,0.001,0.25,none,87.2953109741,0,87.2953109741,87.2953109741,84.9802398682,0,84.9802398682,84.9802398682,1
35,118,16,0.01,0.01,0.25,none,87.2388458252,0,87.2388458252,87.2388458252,86.2224731445,0,86.2224731445,86.2224731445,1
36,46,4,0.01,0.01,0.25,none,87.1259155273,0,87.1259155273,87.1259155273,84.7543716431,0,84.7543716431,84.7543716431,1
37,84,8,0.01,0.01,0.75,none,87.1259155273,0,87.1259155273,87.1259155273,85.4884185791,0,85.4884185791,85.4884185791,1
38,89,8,0.001,0.0001,0.5,none,87.1259155273,0,87.1259155273,87.1259155273,86.3354034424,0,86.3354034424,86.3354034424,1
39,102,8,0.0001,0.0001,0.75,none,86.7306594849,0,86.7306594849,86.7306594849,85.2625579834,0,85.2625579834,85.2625579834,1
40,105,8,0.0001,0.001,0.75,none,86.7306594849,0,86.7306594849,86.7306594849,85.2061004639,0,85.2061004639,85.2061004639,1
41,108,8,0.0001,0.01,0.75,none,86.7306594849,0,86.7306594849,86.7306594849,85.5448913574,0,85.5448913574,85.5448913574,1
42,99,8,0.0001,0,0.75,none,86.6741943359,0,86.6741943359,86.6741943359,85.2061004639,0,85.2061004639,85.2061004639,1
43,57,4,0.001,0.001,0.75,none,86.5612640381,0,86.5612640381,86.5612640381,84.8108444214,0,84.8108444214,84.8108444214,1
44,107,8,0.0001,0.01,0.5,none,86.5612640381,0,86.5612640381,86.5612640381,85.0366973877,0,85.0366973877,85.0366973877,1
45,12,2,0.01,0.01,0.75,none,86.5047988892,0,86.5047988892,86.5047988892,84.9237670898,0,84.9237670898,84.9237670898,1
46,98,8,0.0001,0,0.5,none,86.5047988892,0,86.5047988892,86.5047988892,85.1496353149,0,85.1496353149,85.1496353149,1
47,101,8,0.0001,0.0001,0.5,none,86.5047988892,0,86.5047988892,86.5047988892,85.1496353149,0,85.1496353149,85.1496353149,1
48,104,8,0.0001,0.001,0.5,none,86.5047988892,0,86.5047988892,86.5047988892,85.0931625366,0,85.0931625366,85.0931625366,1
49,44,4,0.01,0.001,0.5,none,86.3918685913,0,86.3918685913,86.3918685913,84.5285110474,0,84.5285110474,84.5285110474,1
50,5,2,0.01,0.0001,0.5,none,86.3354034424,0,86.3354034424,86.3354034424,84.2461853027,0,84.2461853027,84.2461853027,1
51,88,8,0.001,0.0001,0.25,none,86.2789382935,0,86.2789382935,86.2789382935,84.8673019409,0,84.8673019409,84.8673019409,1
52,94,8,0.001,0.01,0.25,none,86.2789382935,0,86.2789382935,86.2789382935,84.8673019409,0,84.8673019409,84.8673019409,1
53,100,8,0.0001,0.0001,0.25,none,86.2789382935,0,86.2789382935,86.2789382935,85.3754959106,0,85.3754959106,85.3754959106,1
54,103,8,0.0001,0.001,0.25,none,86.2789382935,0,86.2789382935,86.2789382935,85.3754959106,0,85.3754959106,85.3754959106,1
55,106,8,0.0001,0.01,0.25,none,86.2789382935,0,86.2789382935,86.2789382935,85.3754959106,0,85.3754959106,85.3754959106,1
