rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,145,16,0.01,0,0.25,none,67.9919128418,0,67.9919128418,67.9919128418,68.6176376343,0,68.6176376343,68.6176376343,1
2,148,16,0.01,0.0001,0.25,none,67.9919128418,0,67.9919128418,67.9919128418,68.6176376343,0,68.6176376343,68.6176376343,1
3,151,16,0.01,0.001,0.25,none,67.9919128418,0,67.9919128418,67.9919128418,68.6176376343,0,68.6176376343,68.6176376343,1
4,154,16,0.01,0.01,0.25,none,67.9919128418,0,67.9919128418,67.9919128418,68.6176376343,0,68.6176376343,68.6176376343,1
5,109,8,0.01,0,0.25,none,66.8271026611,0,66.8271026611,66.8271026611,67.7608795166,0,67.7608795166,67.7608795166,1
6,112,8,0.01,0.0001,0.25,none,66.8271026611,0,66.8271026611,66.8271026611,67.7608795166,0,67.7608795166,67.7608795166,1
7,115,8,0.01,0.001,0.25,none,66.8271026611,0,66.8271026611,66.8271026611,67.7608795166,0,67.7608795166,67.7608795166,1
8,118,8,0.01,0.01,0.25,none,66.8271026611,0,66.8271026611,66.8271026611,67.7608795166,0,67.7608795166,67.7608795166,1
9,110,8,0.01,0,0.5,none,62.8706207275,0,62.8706207275,62.8706207275,63.6503639221,0,63.6503639221,63.6503639221,1
10,113,8,0.01,0.0001,0.5,none,62.8706207275,0,62.8706207275,62.8706207275,63.6503639221,0,63.6503639221,63.6503639221,1
11,116,8,0.01,0.001,0.5,none,62.8706207275,0,62.8706207275,62.8706207275,63.6503639221,0,63.6503639221,63.6503639221,1
12,119,8,0.01,0.01,0.5,none,62.8706207275,0,62.8706207275,62.8706207275,63.6503639221,0,63.6503639221,63.6503639221,1
13,73,4,0.01,0,0.25,none,61.5325393677,0,61.5325393677,61.5325393677,62.2737770081,0,62.2737770081,62.2737770081,1
14,76,4,0.01,0.0001,0.25,none,61.5325393677,0,61.5325393677,61.5325393677,62.2737770081,0,62.2737770081,62.2737770081,1
15,79,4,0.01,0.001,0.25,none,61.5325393677,0,61.5325393677,61.5325393677,62.2737770081,0,62.2737770081,62.2737770081,1
16,82,4,0.01,0.01,0.25,none,61.5325393677,0,61.5325393677,61.5325393677,62.2737770081,0,62.2737770081,62.2737770081,1
17,1,0,0.01,0,0.25,none,60.4543685913,0,60.4543685913,60.4543685913,60.8586845398,0,60.8586845398,60.8586845398,1
18,121,8,0.001,0,0.25,none,60.0500564575,0,60.0500564575,60.0500564575,61.2726211548,0,61.2726211548,61.2726211548,1
19,124,8,0.001,0.0001,0.25,none,60.0500564575,0,60.0500564575,60.0500564575,61.2726211548,0,61.2726211548,61.2726211548,1
20,127,8,0.001,0.001,0.25,none,60.0500564575,0,60.0500564575,60.0500564575,61.2726211548,0,61.2726211548,61.2726211548,1
21,130,8,0.001,0.01,0.25,none,60.0500564575,0,60.0500564575,60.0500564575,61.2726211548,0,61.2726211548,61.2726211548,1
22,146,16,0.01,0,0.5,none,59.9826698303,0,59.9826698303,59.9826698303,60.7624168396,0,60.7624168396,60.7624168396,1
23,149,16,0.01,0.0001,0.5,none,59.9826698303,0,59.9826698303,59.9826698303,60.7624168396,0,60.7624168396,60.7624168396,1
24,152,16,0.01,0.001,0.5,none,59.9826698303,0,59.9826698303,59.9826698303,60.7624168396,0,60.7624168396,60.7624168396,1
25,155,16,0.01,0.01,0.5,none,59.9826698303,0,59.9826698303,59.9826698303,60.7624168396,0,60.7624168396,60.7624168396,1
26,4,0,0.01,0.0001,0.25,none,59.8093910217,0,59.8093910217,59.8093910217,60.9068145752,0,60.9068145752,60.9068145752,1
27,7,0,0.01,0.001,0.25,none,59.7901420593,0,59.7901420593,59.7901420593,60.4736213684,0,60.4736213684,60.4736213684,1
28,157,16,0.001,0,0.25,none,59.7420082092,0,59.7420082092,59.7420082092,60.7624168396,0,60.7624168396,60.7624168396,1
