rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,73,4,0.01,0,0.25,none,72.8244094849,0,72.8244094849,72.8244094849,73.6907958984,0,73.6907958984,73.6907958984,1
2,76,4,0.01,0.0001,0.25,none,72.3142089844,0,72.3142089844,72.3142089844,72.9976882935,0,72.9976882935,72.9976882935,1
3,40,2,0.01,0.0001,0.25,none,70.4177932739,0,70.4177932739,70.4177932739,71.0338821411,0,71.0338821411,71.0338821411,1
4,37,2,0.01,0,0.25,none,70.2830200195,0,70.2830200195,70.2830200195,70.7258377075,0,70.7258377075,70.7258377075,1
5,112,8,0.01,0.0001,0.25,none,68.973815918,0,68.973815918,68.973815918,69.1567153931,0,69.1567153931,69.1567153931,1
6,113,8,0.01,0.0001,0.5,none,68.973815918,0,68.973815918,68.973815918,69.5225219727,0,69.5225219727,69.5225219727,1
7,110,8,0.01,0,0.5,none,68.9641876221,0,68.9641876221,68.9641876221,69.4840164185,0,69.4840164185,69.4840164185,1
8,115,8,0.01,0.001,0.25,none,68.9641876221,0,68.9641876221,68.9641876221,69.3299942017,0,69.3299942017,69.3299942017,1
9,109,8,0.01,0,0.25,none,68.8390426636,0,68.8390426636,68.8390426636,69.3299942017,0,69.3299942017,69.3299942017,1
10,111,8,0.01,0,0.75,none,68.53099823,0,68.53099823,68.53099823,68.9160614014,0,68.9160614014,68.9160614014,1
11,77,4,0.01,0.0001,0.5,none,68.5021133423,0,68.5021133423,68.5021133423,69.166343689,0,69.166343689,69.166343689,1
12,114,8,0.01,0.0001,0.75,none,68.473236084,0,68.473236084,68.473236084,68.8679199219,0,68.8679199219,68.8679199219,1
13,74,4,0.01,0,0.5,none,68.4539871216,0,68.4539871216,68.4539871216,69.0893325806,0,69.0893325806,69.0893325806,1
14,116,8,0.01,0.001,0.5,none,68.3384628296,0,68.3384628296,68.3384628296,68.6272583008,0,68.6272583008,68.6272583008,1
15,79,4,0.01,0.001,0.25,none,68.088180542,0,68.088180542,68.088180542,68.588760376,0,68.588760376,68.588760376,1
16,75,4,0.01,0,0.75,none,67.6453552246,0,67.6453552246,67.6453552246,68.0207901001,0,68.0207901001,68.0207901001,1
17,78,4,0.01,0.0001,0.75,none,67.4432067871,0,67.4432067871,67.4432067871,67.7897567749,0,67.7897567749,67.7897567749,1
18,151,16,0.01,0.001,0.25,none,67.4047012329,0,67.4047012329,67.4047012329,67.780128479,0,67.780128479,67.780128479,1
19,80,4,0.01,0.001,0.5,none,67.202545166,0,67.202545166,67.202545166,67.395072937,0,67.395072937,67.395072937,1
20,121,8,0.001,0,0.25,none,67.1736602783,0,67.1736602783,67.1736602783,67.7897567749,0,67.7897567749,67.7897567749,1
21,124,8,0.001,0.0001,0.25,none,67.1255264282,0,67.1255264282,67.1255264282,67.6549835205,0,67.6549835205,67.6549835205,1
22,148,16,0.01,0.0001,0.25,none,67.087020874,0,67.087020874,67.087020874,67.7127456665,0,67.7127456665,67.7127456665,1
23,117,8,0.01,0.001,0.75,none,66.9907531738,0,66.9907531738,66.9907531738,67.337310791,0,67.337310791,67.337310791,1
24,149,16,0.01,0.0001,0.5,none,66.9811325073,0,66.9811325073,66.9811325073,67.5490951538,0,67.5490951538,67.5490951538,1
25,146,16,0.01,0,0.5,none,66.7693481445,0,66.7693481445,66.7693481445,67.3469390869,0,67.3469390869,67.3469390869,1
26,150,16,0.01,0.0001,0.75,none,66.7212219238,0,66.7212219238,66.7212219238,67.3180541992,0,67.3180541992,67.3180541992,1
27,88,4,0.001,0.0001,0.25,none,66.6538314819,0,66.6538314819,66.6538314819,67.202545166,0,67.202545166,67.202545166,1
28,85,4,0.001,0,0.25,none,66.644203186,0,66.644203186,66.644203186,67.2795562744,0,67.2795562744,67.2795562744,1
29,152,16,0.01,0.001,0.5,none,66.5575714111,0,66.5575714111,66.5575714111,66.8559875488,0,66.8559875488,66.8559875488,1
30,122,8,0.001,0,0.5,none,66.3939208984,0,66.3939208984,66.3939208984,66.9329986572,0,66.9329986572,66.9329986572,1
31,125,8,0.001,0.0001,0.5,none,66.336151123,0,66.336151123,66.336151123,66.6923370361,0,66.6923370361,66.6923370361,1
32,81,4,0.01,0.001,0.75,none,66.259147644,0,66.259147644,66.259147644,66.4324188232,0,66.4324188232,66.4324188232,1
33,147,16,0.01,0,0.75,none,66.1725006104,0,66.1725006104,66.1725006104,66.7404708862,0,66.7404708862,66.7404708862,1
34,86,4,0.001,0,0.5,none,66.1436233521,0,66.1436233521,66.1436233521,66.7982254028,0,66.7982254028,66.7982254028,1
35,89,4,0.001,0.0001,0.5,none,65.8933410645,0,65.8933410645,65.8933410645,66.6345748901,0,66.6345748901,66.6345748901,1
36,145,16,0.01,0,0.25,none,65.8740844727,0,65.8740844727,65.8740844727,66.4131698608,0,66.4131698608,66.4131698608,1
37,38,2,0.01,0,0.5,none,65.71043396,0,65.71043396,65.71043396,66.3169021606,0,66.3169021606,66.3169021606,1
38,43,2,0.01,0.001,0.25,none,65.575668335,0,65.575668335,65.575668335,65.9125900269,0,65.9125900269,65.9125900269,1
39,41,2,0.01,0.0001,0.5,none,65.5564117432,0,65.5564117432,65.5564117432,66.2495193481,0,66.2495193481,66.2495193481,1
40,127,8,0.001,0.001,0.25,none,65.4216384888,0,65.4216384888,65.4216384888,65.6141662598,0,65.6141662598,65.6141662598,1
41,91,4,0.001,0.001,0.25,none,65.1617202759,0,65.1617202759,65.1617202759,65.7585678101,0,65.7585678101,65.7585678101,1
42,153,16,0.01,0.001,0.75,none,64.8536834717,0,64.8536834717,64.8536834717,65.075088501,0,65.075088501,65.075088501,1
43,39,2,0.01,0,0.75,none,64.824798584,0,64.824798584,64.824798584,64.9691925049,0,64.9691925049,64.9691925049,1
44,92,4,0.001,0.001,0.5,none,64.7092819214,0,64.7092819214,64.7092819214,65.1906051636,0,65.1906051636,65.1906051636,1
45,44,2,0.01,0.001,0.5,none,64.5648803711,0,64.5648803711,64.5648803711,64.7381591797,0,64.7381591797,64.7381591797,1
46,128,8,0.001,0.001,0.5,none,64.4012298584,0,64.4012298584,64.4012298584,64.7477874756,0,64.7477874756,64.7477874756,1
47,42,2,0.01,0.0001,0.75,none,64.3916091919,0,64.3916091919,64.3916091919,64.7477874756,0,64.7477874756,64.7477874756,1
48,49,2,0.001,0,0.25,none,63.7562561035,0,63.7562561035,63.7562561035,64.6226425171,0,64.6226425171,64.6226425171,1
49,52,2,0.001,0.0001,0.25,none,63.7466316223,0,63.7466316223,63.7466316223,64.4493637085,0,64.4493637085,64.4493637085,1
50,50,2,0.001,0,0.5,none,63.4963378906,0,63.4963378906,63.4963378906,64.1413116455,0,64.1413116455,64.1413116455,1
51,53,2,0.001,0.0001,0.5,none,63.438583374,0,63.438583374,63.438583374,64.1124343872,0,64.1124343872,64.1124343872,1
52,45,2,0.01,0.001,0.75,none,63.3423194885,0,63.3423194885,63.3423194885,63.7466316223,0,63.7466316223,63.7466316223,1
53,55,2,0.001,0.001,0.25,none,63.0535240173,0,63.0535240173,63.0535240173,63.631111145,0,63.631111145,63.631111145,1
54,56,2,0.001,0.001,0.5,none,62.6684608459,0,62.6684608459,62.6684608459,63.1497879028,0,63.1497879028,63.1497879028,1
55,51,2,0.001,0,0.75,none,62.5722007751,0,62.5722007751,62.5722007751,63.1305351257,0,63.1305351257,63.1305351257,1
56,54,2,0.001,0.0001,0.75,none,62.3796691895,0,62.3796691895,62.3796691895,63.1016540527,0,63.1016540527,63.1016540527,1
57,82,4,0.01,0.01,0.25,none,61.7635726929,0,61.7635726929,61.7635726929,62.1486320496,0,62.1486320496,62.1486320496,1
58,57,2,0.001,0.001,0.75,none,61.7154426575,0,61.7154426575,61.7154426575,61.9368476868,0,61.9368476868,61.9368476868,1
59,118,8,0.01,0.01,0.25,none,61.0319595337,0,61.0319595337,61.0319595337,61.3977661133,0,61.3977661133,61.3977661133,1
60,83,4,0.01,0.01,0.5,none,60.2425880432,0,60.2425880432,60.2425880432,60.6276435852,0,60.6276435852,60.6276435852,1
61,3,0,0.01,0,0.75,none,59.9730415344,0,59.9730415344,59.9730415344,60.6854095459,0,60.6854095459,60.6854095459,1
62,46,2,0.01,0.01,0.25,none,59.8671569824,0,59.8671569824,59.8671569824,60.2137069702,0,60.2137069702,60.2137069702,1
63,6,0,0.01,0.0001,0.75,none,59.5302276611,0,59.5302276611,59.5302276611,60.2233352661,0,60.2233352661,60.2233352661,1
64,119,8,0.01,0.01,0.5,none,59.4147071838,0,59.4147071838,59.4147071838,59.4917221069,0,59.4917221069,59.4917221069,1
65,47,2,0.01,0.01,0.5,none,57.9996185303,0,57.9996185303,57.9996185303,58.2595291138,0,58.2595291138,58.2595291138,1
66,2,0,0.01,0,0.5,none,57.7493247986,0,57.7493247986,57.7493247986,58.5868301392,0,58.5868301392,58.5868301392,1
67,5,0,0.01,0.0001,0.5,none,57.6723175049,0,57.6723175049,57.6723175049,58.5772018433,0,58.5772018433,58.5772018433,1
68,9,0,0.01,0.001,0.75,none,57.5664215088,0,57.5664215088,57.5664215088,57.6145515442,0,57.6145515442,57.6145515442,1
69,8,0,0.01,0.001,0.5,none,57.4316482544,0,57.4316482544,57.4316482544,58.1055030823,0,58.1055030823,58.1055030823,1
70,7,0,0.01,0.001,0.25,none,57.3161354065,0,57.3161354065,57.3161354065,57.9996185303,0,57.9996185303,57.9996185303,1
71,14,0,0.001,0,0.5,none,56.8155593872,0,56.8155593872,56.8155593872,57.104347229,0,57.104347229,57.104347229,1
72,17,0,0.001,0.0001,0.5,none,56.6904144287,0,56.6904144287,56.6904144287,57.1332321167,0,57.1332321167,57.1332321167,1
73,20,0,0.001,0.001,0.5,none,56.5748939514,0,56.5748939514,56.5748939514,56.7866744995,0,56.7866744995,56.7866744995,1
74,4,0,0.01,0.0001,0.25,none,56.526763916,0,56.526763916,56.526763916,57.2872505188,0,57.2872505188,57.2872505188,1
75,154,16,0.01,0.01,0.25,none,56.526763916,0,56.526763916,56.526763916,56.6904144287,0,56.6904144287,56.6904144287,1
76,1,0,0.01,0,0.25,none,56.5171356201,0,56.5171356201,56.5171356201,57.2487487793,0,57.2487487793,57.2487487793,1
77,19,0,0.001,0.001,0.25,none,56.4882583618,0,56.4882583618,56.4882583618,56.7963066101,0,56.7963066101,56.7963066101,1
78,15,0,0.001,0,0.75,none,56.3919906616,0,56.3919906616,56.3919906616,56.4593734741,0,56.4593734741,56.4593734741,1
79,18,0,0.001,0.0001,0.75,none,56.3727378845,0,56.3727378845,56.3727378845,56.3919906616,0,56.3919906616,56.3919906616,1
80,13,0,0.001,0,0.25,none,56.3631134033,0,56.3631134033,56.3631134033,57.1236000061,0,57.1236000061,57.1236000061,1
81,16,0,0.001,0.0001,0.25,none,56.3438606262,0,56.3438606262,56.3438606262,57.1236000061,0,57.1236000061,57.1236000061,1
82,10,0,0.01,0.01,0.25,none,56.2860946655,0,56.2860946655,56.2860946655,56.305355072,0,56.305355072,56.305355072,1
83,21,0,0.001,0.001,0.75,none,56.2572174072,0,56.2572174072,56.2572174072,56.2764701843,0,56.2764701843,56.2764701843,1
84,11,0,0.01,0.01,0.5,none,56.1802101135,0,56.1802101135,56.1802101135,55.9106636047,0,55.9106636047,55.9106636047,1
85,165,16,0.001,0.001,0.75,none,56.1802101135,0,56.1802101135,56.1802101135,56.3727378845,0,56.3727378845,56.3727378845,1
86,162,16,0.001,0.0001,0.75,none,56.1417045593,0,56.1417045593,56.1417045593,56.4304962158,0,56.4304962158,56.4304962158,1
87,159,16,0.001,0,0.75,none,56.0935668945,0,56.0935668945,56.0935668945,56.3919906616,0,56.3919906616,56.3919906616,1
88,12,0,0.01,0.01,0.75,none,55.9876785278,0,55.9876785278,55.9876785278,56.0358123779,0,56.0358123779,56.0358123779,1
89,23,0,0.001,0.01,0.5,none,55.8047790527,0,55.8047790527,55.8047790527,55.9973068237,0,55.9973068237,55.9973068237,1
90,156,16,0.01,0.01,0.75,none,55.8047790527,0,55.8047790527,55.8047790527,56.1609573364,0,56.1609573364,56.1609573364,1
91,24,0,0.001,0.01,0.75,none,55.7277603149,0,55.7277603149,55.7277603149,55.8529090881,0,55.8529090881,55.8529090881,1
92,168,16,0.001,0.01,0.75,none,55.7277603149,0,55.7277603149,55.7277603149,56.0839424133,0,56.0839424133,56.0839424133,1
93,22,0,0.001,0.01,0.25,none,55.7085113525,0,55.7085113525,55.7085113525,55.9780540466,0,55.9780540466,55.9780540466,1
94,87,4,0.001,0,0.75,none,55.7085113525,0,55.7085113525,55.7085113525,56.8733139038,0,56.8733139038,56.8733139038,1
95,90,4,0.001,0.0001,0.75,none,55.6892585754,0,55.6892585754,55.6892585754,56.8733139038,0,56.8733139038,56.8733139038,1
96,155,16,0.01,0.01,0.5,none,55.6796302795,0,55.6796302795,55.6796302795,55.9973068237,0,55.9973068237,55.9973068237,1
97,48,2,0.01,0.01,0.75,none,55.5737380981,0,55.5737380981,55.5737380981,55.7951507568,0,55.7951507568,55.7951507568,1
98,93,4,0.001,0.001,0.75,none,55.554485321,0,55.554485321,55.554485321,56.8444366455,0,56.8444366455,56.8444366455,1
99,132,8,0.001,0.01,0.75,none,55.4967269897,0,55.4967269897,55.4967269897,55.8817863464,0,55.8817863464,55.8817863464,1
100,167,16,0.001,0.01,0.5,none,55.4967269897,0,55.4967269897,55.4967269897,55.7855186462,0,55.7855186462,55.7855186462,1
101,84,4,0.01,0.01,0.75,none,55.4871025085,0,55.4871025085,55.4871025085,55.4293403625,0,55.4293403625,55.4293403625,1
