rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,85,4,0.001,0,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,72.3781356812,0,72.3781356812,72.3781356812,1
2,88,4,0.001,0.0001,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,71.6395874023,0,71.6395874023,71.6395874023,1
3,91,4,0.001,0.001,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,71.6395874023,0,71.6395874023,71.6395874023,1
4,94,4,0.001,0.01,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,71.6395874023,0,71.6395874023,71.6395874023,1
5,47,2,0.01,0.01,0.5,none,72.6735610962,0,72.6735610962,72.6735610962,75.9231872559,0,75.9231872559,75.9231872559,1
6,44,2,0.01,0.001,0.5,none,72.230430603,0,72.230430603,72.230430603,74.889213562,0,74.889213562,74.889213562,1
7,41,2,0.01,0.0001,0.5,none,72.0827178955,0,72.0827178955,72.0827178955,76.2186126709,0,76.2186126709,76.2186126709,1
8,38,2,0.01,0,0.5,none,71.7873001099,0,71.7873001099,71.7873001099,76.0708999634,0,76.0708999634,76.0708999634,1
9,55,2,0.001,0.001,0.25,none,71.6395874023,0,71.6395874023,71.6395874023,71.935005188,0,71.935005188,71.935005188,1
10,58,2,0.001,0.01,0.25,none,71.6395874023,0,71.6395874023,71.6395874023,71.935005188,0,71.935005188,71.935005188,1
11,49,2,0.001,0,0.25,none,71.4918746948,0,71.4918746948,71.4918746948,71.1964569092,0,71.1964569092,71.1964569092,1
12,52,2,0.001,0.0001,0.25,none,71.4918746948,0,71.4918746948,71.4918746948,71.7873001099,0,71.7873001099,71.7873001099,1
13,89,4,0.001,0.0001,0.5,none,70.9010314941,0,70.9010314941,70.9010314941,70.1624832153,0,70.1624832153,70.1624832153,1
14,92,4,0.001,0.001,0.5,none,70.9010314941,0,70.9010314941,70.9010314941,69.8670578003,0,69.8670578003,69.8670578003,1
15,95,4,0.001,0.01,0.5,none,70.9010314941,0,70.9010314941,70.9010314941,69.8670578003,0,69.8670578003,69.8670578003,1
