rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,155,16,0.01,0.01,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,84.6381072998,0,84.6381072998,84.6381072998,1
2,156,16,0.01,0.01,0.75,none,82.2747421265,0,82.2747421265,82.2747421265,84.9335327148,0,84.9335327148,84.9335327148,1
3,119,8,0.01,0.01,0.5,none,82.1270294189,0,82.1270294189,82.1270294189,83.7518463135,0,83.7518463135,83.7518463135,1
4,132,8,0.001,0.01,0.75,none,81.9793167114,0,81.9793167114,81.9793167114,85.376663208,0,85.376663208,85.376663208,1
5,147,16,0.01,0,0.75,none,81.8316116333,0,81.8316116333,81.8316116333,84.4903945923,0,84.4903945923,84.4903945923,1
6,150,16,0.01,0.0001,0.75,none,81.8316116333,0,81.8316116333,81.8316116333,84.6381072998,0,84.6381072998,84.6381072998,1
7,153,16,0.01,0.001,0.75,none,81.8316116333,0,81.8316116333,81.8316116333,84.1949768066,0,84.1949768066,84.1949768066,1
8,154,16,0.01,0.01,0.25,none,81.6838989258,0,81.6838989258,81.6838989258,85.376663208,0,85.376663208,85.376663208,1
9,84,4,0.01,0.01,0.75,none,81.5361862183,0,81.5361862183,81.5361862183,83.4564208984,0,83.4564208984,83.4564208984,1
10,117,8,0.01,0.001,0.75,none,81.5361862183,0,81.5361862183,81.5361862183,85.081237793,0,85.081237793,85.081237793,1
11,120,8,0.01,0.01,0.75,none,81.5361862183,0,81.5361862183,81.5361862183,84.4903945923,0,84.4903945923,84.4903945923,1
12,167,16,0.001,0.01,0.5,none,81.5361862183,0,81.5361862183,81.5361862183,84.9335327148,0,84.9335327148,84.9335327148,1
13,168,16,0.001,0.01,0.75,none,81.5361862183,0,81.5361862183,81.5361862183,84.4903945923,0,84.4903945923,84.4903945923,1
14,118,8,0.01,0.01,0.25,none,81.2407684326,0,81.2407684326,81.2407684326,83.0132904053,0,83.0132904053,83.0132904053,1
15,131,8,0.001,0.01,0.5,none,81.2407684326,0,81.2407684326,81.2407684326,83.1610031128,0,83.1610031128,83.1610031128,1
16,152,16,0.01,0.001,0.5,none,81.2407684326,0,81.2407684326,81.2407684326,83.0132904053,0,83.0132904053,83.0132904053,1
