task_id,pool,label,status,attempts,return_code,seconds,last_log_path,error_message
grid_candidate_0001,grid,grid_candidate_0001,completed,1,0,25.436183,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0001_attempt_1.log,
grid_candidate_0011,grid,grid_candidate_0011,completed,1,0,26.417430,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0011_attempt_1.log,
grid_candidate_0002,grid,grid_candidate_0002,completed,1,0,37.935905,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0002_attempt_1.log,
grid_candidate_0004,grid,grid_candidate_0004,completed,1,0,37.147068,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0004_attempt_1.log,
grid_candidate_0015,grid,grid_candidate_0015,completed,1,0,28.050626,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0015_attempt_1.log,
grid_candidate_0003,grid,grid_candidate_0003,completed,1,0,40.387878,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0003_attempt_1.log,
grid_candidate_0007,grid,grid_candidate_0007,completed,1,0,37.689716,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0007_attempt_1.log,
grid_candidate_0006,grid,grid_candidate_0006,completed,1,0,38.875440,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0006_attempt_1.log,
grid_candidate_0005,grid,grid_candidate_0005,completed,1,0,39.960302,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0005_attempt_1.log,
grid_candidate_0020,grid,grid_candidate_0020,completed,1,0,28.566934,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0020_attempt_1.log,
grid_candidate_0019,grid,grid_candidate_0019,completed,1,0,29.237214,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0019_attempt_1.log,
grid_candidate_0009,grid,grid_candidate_0009,completed,1,0,39.011979,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0009_attempt_1.log,
grid_candidate_0008,grid,grid_candidate_0008,completed,1,0,42.388780,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0008_attempt_1.log,
grid_candidate_0014,grid,grid_candidate_0014,completed,1,0,40.064612,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0014_attempt_1.log,
grid_candidate_0016,grid,grid_candidate_0016,completed,1,0,38.022482,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0016_attempt_1.log,
grid_candidate_0013,grid,grid_candidate_0013,completed,1,0,41.296690,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0013_attempt_1.log,
grid_candidate_0010,grid,grid_candidate_0010,completed,1,0,42.613938,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0010_attempt_1.log,
grid_candidate_0012,grid,grid_candidate_0012,completed,1,0,42.174462,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0012_attempt_1.log,
grid_candidate_0017,grid,grid_candidate_0017,completed,1,0,38.541785,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0017_attempt_1.log,
grid_candidate_0018,grid,grid_candidate_0018,completed,1,0,38.946747,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0018_attempt_1.log,
grid_candidate_0021,grid,grid_candidate_0021,completed,1,0,36.688125,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0021_attempt_1.log,
grid_candidate_0023,grid,grid_candidate_0023,completed,1,0,37.019795,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure5/figure5.yaml/dataset=lastfm/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=true/norm_scale=16/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0023_attempt_1.log,
