rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,110,8,0.01,0,0.5,none,44.25548172,0,44.25548172,44.25548172,44.2035140991,0,44.2035140991,44.2035140991,1
2,116,8,0.01,0.001,0.5,none,43.7665328979,0,43.7665328979,43.7665328979,43.6011924744,0,43.6011924744,43.6011924744,1
3,119,8,0.01,0.01,0.5,none,43.6437072754,0,43.6437072754,43.6437072754,43.4571075439,0,43.4571075439,43.4571075439,1
4,150,16,0.01,0.0001,0.75,none,43.452381134,0,43.452381134,43.452381134,43.2799530029,0,43.2799530029,43.2799530029,1
5,113,8,0.01,0.0001,0.5,none,43.4382095337,0,43.4382095337,43.4382095337,43.4027786255,0,43.4027786255,43.4027786255,1
6,147,16,0.01,0,0.75,none,43.3697090149,0,43.3697090149,43.3697090149,43.37915802,0,43.37915802,43.37915802,1
7,120,8,0.01,0.01,0.75,none,42.8382453918,0,42.8382453918,42.8382453918,42.6185760498,0,42.6185760498,42.6185760498,1
8,156,16,0.01,0.01,0.75,none,42.6634559631,0,42.6634559631,42.6634559631,42.538269043,0,42.538269043,42.538269043,1
9,153,16,0.01,0.001,0.75,none,42.6256637573,0,42.6256637573,42.6256637573,42.3823699951,0,42.3823699951,42.3823699951,1
10,114,8,0.01,0.0001,0.75,none,42.5099220276,0,42.5099220276,42.5099220276,42.2571792603,0,42.2571792603,42.2571792603,1
11,117,8,0.01,0.001,0.75,none,42.2548217773,0,42.2548217773,42.2548217773,42.0398712158,0,42.0398712158,42.0398712158,1
12,111,8,0.01,0,0.75,none,42.0894737244,0,42.0894737244,42.0894737244,41.9949913025,0,41.9949913025,41.9949913025,1
13,76,4,0.01,0.0001,0.25,none,36.1512680054,0,36.1512680054,36.1512680054,36.1158370972,0,36.1158370972,36.1158370972,1
14,82,4,0.01,0.01,0.25,none,36.018989563,0,36.018989563,36.018989563,35.8630943298,0,35.8630943298,35.8630943298,1
15,81,4,0.01,0.001,0.75,none,35.9882850647,0,35.9882850647,35.9882850647,35.9717483521,0,35.9717483521,35.9717483521,1
16,77,4,0.01,0.0001,0.5,none,35.929233551,0,35.929233551,35.929233551,36.0733184814,0,36.0733184814,36.0733184814,1
17,73,4,0.01,0,0.25,none,35.8890762329,0,35.8890762329,35.8890762329,35.9268722534,0,35.9268722534,35.9268722534,1
18,79,4,0.01,0.001,0.25,none,35.8630943298,0,35.8630943298,35.8630943298,35.9174232483,0,35.9174232483,35.9174232483,1
19,74,4,0.01,0,0.5,none,35.75207901,0,35.75207901,35.75207901,35.7591667175,0,35.7591667175,35.7591667175,1
20,78,4,0.01,0.0001,0.75,none,35.5205993652,0,35.5205993652,35.5205993652,35.4402885437,0,35.4402885437,35.4402885437,1
21,75,4,0.01,0,0.75,none,35.4875297546,0,35.4875297546,35.4875297546,35.5938224792,0,35.5938224792,35.5938224792,1
22,80,4,0.01,0.001,0.5,none,35.3623390198,0,35.3623390198,35.3623390198,35.5347709656,0,35.5347709656,35.5347709656,1
23,83,4,0.01,0.01,0.5,none,35.1214103699,0,35.1214103699,35.1214103699,35.1662902832,0,35.1662902832,35.1662902832,1
