rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,145,16,0.01,0,0.25,none,56.4035339355,0,56.4035339355,56.4035339355,56.3421173096,0,56.3421173096,56.3421173096,1
2,148,16,0.01,0.0001,0.25,none,56.3326721191,0,56.3326721191,56.3326721191,56.1720542908,0,56.1720542908,56.1720542908,1
3,146,16,0.01,0,0.5,none,55.4280052185,0,55.4280052185,55.4280052185,55.2272338867,0,55.2272338867,55.2272338867,1
4,149,16,0.01,0.0001,0.5,none,55.2980880737,0,55.2980880737,55.2980880737,55.1516456604,0,55.1516456604,55.1516456604,1
5,151,16,0.01,0.001,0.25,none,55.2484855652,0,55.2484855652,55.2484855652,55.0973167419,0,55.0973167419,55.0973167419,1
6,152,16,0.01,0.001,0.5,none,54.3650817871,0,54.3650817871,54.3650817871,54.0721817017,0,54.0721817017,54.0721817017,1
7,147,16,0.01,0,0.75,none,52.742351532,0,52.742351532,52.742351532,52.4447250366,0,52.4447250366,52.4447250366,1
8,150,16,0.01,0.0001,0.75,none,52.6100769043,0,52.6100769043,52.6100769043,52.2888298035,0,52.2888298035,52.2888298035,1
9,112,8,0.01,0.0001,0.25,none,52.0101127625,0,52.0101127625,52.0101127625,51.6959533691,0,51.6959533691,51.6959533691,1
10,109,8,0.01,0,0.25,none,52.0030250549,0,52.0030250549,52.0030250549,51.6888694763,0,51.6888694763,51.6888694763,1
11,153,16,0.01,0.001,0.75,none,51.1125259399,0,51.1125259399,51.1125259399,50.798374176,0,50.798374176,50.798374176,1
12,115,8,0.01,0.001,0.25,none,51.0936317444,0,51.0936317444,51.0936317444,50.8810462952,0,50.8810462952,50.8810462952,1
13,110,8,0.01,0,0.5,none,50.8007354736,0,50.8007354736,50.8007354736,50.3873748779,0,50.3873748779,50.3873748779,1
14,113,8,0.01,0.0001,0.5,none,50.6188583374,0,50.6188583374,50.6188583374,50.2834510803,0,50.2834510803,50.2834510803,1
15,116,8,0.01,0.001,0.5,none,49.780330658,0,49.780330658,49.780330658,49.3669700623,0,49.3669700623,49.3669700623,1
16,111,8,0.01,0,0.75,none,48.3536491394,0,48.3536491394,48.3536491394,47.9568214417,0,47.9568214417,47.9568214417,1
17,114,8,0.01,0.0001,0.75,none,48.1410636902,0,48.1410636902,48.1410636902,47.7536849976,0,47.7536849976,47.7536849976,1
18,157,16,0.001,0,0.25,none,47.3568572998,0,47.3568572998,47.3568572998,47.24584198,0,47.24584198,47.24584198,1
19,160,16,0.001,0.0001,0.25,none,47.2694625854,0,47.2694625854,47.2694625854,47.1489982605,0,47.1489982605,47.1489982605,1
20,121,8,0.001,0,0.25,none,47.1112060547,0,47.1112060547,47.1112060547,47.0427055359,0,47.0427055359,47.0427055359,1
21,124,8,0.001,0.0001,0.25,none,47.0946731567,0,47.0946731567,47.0946731567,47.0049133301,0,47.0049133301,47.0049133301,1
