epsilon,m_pm,m_hds,alpha_pm,lambda_pm,alpha_hds,lambda_hds
0.001,1,1,10947835153826.828,2866716.5597083322,10947835419991.324,2866955.4129391364
0.0010038462995594314,1,1,10864085584614.98,2855735.3026058972,10864085850779.371,2855974.1559132119
0.0010077073931391636,1,1,10780976629320.881,2844796.1208751029,10780976895485.16,2845034.9742592229
0.0010115833376414304,1,1,10698503388014.99,2833898.8533015535,10698503654179.158,2834137.7067627739
0.0010154741901873287,1,1,10616660998245.484,2823043.3392885532,10616661264409.541,2823282.1928271707
0.00101938000811766,1,1,10535444634751.609,2812229.4188547437,10535444900915.555,2812468.2724710549
0.0010233008489937761,1,1,10454849509179.211,2801456.9326317445,10454849775343.041,2801695.7863260494
0.0010272367705984255,1,1,10374870869798.492,2790725.72186181,10374871135962.215,2790964.5756344073
0.0010311878309366099,1,1,10295504001223.805,2780035.6283954727,10295504267387.408,2780274.4822466644
0.0010351540882364324,1,1,10216744224135.775,2769386.4946892369,10216744490299.27,2769625.3486193246
0.0010391356009499598,1,1,10138586895005.396,2758778.1638032389,10138587161168.773,2759017.0178125259
0.001043132427754083,1,1,10061027405820.268,2748210.4793989421,10061027671983.539,2748449.3334877337
0.001047144627551382,1,1,9984061183812.998,2737683.28573683,9984061449976.1504,2737922.1399054299
0.0010511722594709937,1,1,9907683691191.5684,2727196.4276741096,9907683957354.6133,2727435.2819228265
0.0010552153828694835,1,1,9831890424871.877,2716749.7506624316,9831890691034.7988,2716988.604991572
0.0010592740573317195,1,1,9756676916212.2441,2706343.1007456034,9756677182375.0488,2706581.9551554774
0.0010633483426717516,1,1,9682038730749.9785,2695976.3245573286,9682038996912.668,2696215.1790482458
0.001067438298933692,1,1,9607971467939.9824,2685649.2693189424,9607971734102.5527,2685888.1238912153
0.0010715439863926007,1,1,9534470760895.2988,2675361.7828371618,9534471027057.7578,2675600.6374911023
0.0010756654655553729,1,1,9461532276129.7266,2665113.7135018418,9461532542292.0645,2665352.5682377643
0.0010798027971616339,1,1,9389151713302.2383,2654904.910283736,9389151979464.457,2655143.7651019557
0.0010839560421846296,1,1,9317324804963.627,2644735.2227322832,9317325071125.7285,2644974.0776331159
0.0010881252618321271,1,1,9246047316304.834,2634604.5009733797,9246047582466.8184,2634843.3559571439
0.0010923105175473181,1,1,9175315044907.2988,2624512.5957071739,9175315311069.1621,2624751.4507741877
0.0010965118710097226,1,1,9105123820495.2578,2614459.358205867,9105124086656.998,2614698.2133564507
0.0011007293841360985,1,1,9035469504689.8633,2604444.6403115168,9035469770851.4883,2604683.4955459922
0.0011049631190813544,1,1,8966347990765.2539,2594468.2944338624,8966348256926.7559,2594707.1497525508
0.0011092131382394647,1,1,8897755203406.4277,2584530.173548141,8897755469567.8086,2584769.0289513669
0.0011134795042443907,1,1,8829687098468.9961,2574630.1311929245,8829687364630.2539,2574868.986681012
0.0011177622799710017,1,1,8762139662740.793,2564768.0214679614,8762139928901.9336,2565006.8770412379
0.0011220615285360031,1,1,8695108913705.2744,2554943.6990320268,8695109179866.291,2555182.5546908183
0.0011263773132988647,1,1,8628590899306.7588,2545157.0191007801,8628591165467.6533,2545395.8748454172
0.0011307096978627597,1,1,8562581697717.3799,2535407.8374446263,8562581963878.1475,2535646.6932754377
0.0011350587460754939,1,1,8497077417105.9941,2525696.0103866006,8497077683266.6387,2525934.866303918
0.0011394245220304529,1,1,8432074195408.6729,2516021.3948002439,8432074461569.1934,2516260.2508043996
0.0011438070900675439,1,1,8367568200101.0566,2506383.8481074949,8367568466261.4521,2506622.7041988228
0.0011482065147741451,1,1,8303555627972.4014,2496783.2282765885,8303555894132.6719,2497022.0844554235
0.001152622860986057,1,1,8240032704901.3936,2487219.3938199636,8240032971061.5391,2487458.2500866423
0.0011570561937884582,1,1,8176995685633.6367,2477692.2037921776,8176995951793.6553,2477931.0601470373
0.0011615065785168641,1,1,8114440853560.8799,2468201.517787829,8114441119720.7734,2468440.374231209
0.0011659740807580901,1,1,8052364520501.9053,2458747.1959394882,8052364786661.668,2458986.052471729
0.0011704587663512183,1,1,7990763026485.1104,2449329.098915637,7990763292644.7461,2449567.9555370798
0.0011749607013885662,1,1,7929632739532.752,2439947.0879186168,7929633005692.2578,2440185.9446296049
0.0011794799522166662,1,1,7868970055446.7725,2430601.0246825735,7868970321606.1504,2430839.8814834501
0.0011840165854372351,1,1,7808771397596.4316,2421290.7714714338,7808771663755.6777,2421529.6283625448
0.0011885706679081618,1,1,7749033216707.377,2412016.1910768668,7749033482866.4971,2412255.0480585601
0.0011931422667444901,1,1,7689751990652.4424,2402777.1468162648,7689752256811.4297,2403016.0038888878
0.0011977314493194083,1,1,7630924224243.9902,2393573.5025307271,7630924490402.8496,2393812.3596946294
0.0012023382832652425,1,1,7572546449027.8799,2384405.1225830554,7572546715186.6055,2384643.9798385878
0.0012069628364744531,1,1,7514615223078.9785,2375271.8718557525,7514615489237.5713,2375510.729203267
0.0012116051771006347,1,1,7457127130798.2744,2366173.6157490327,7457127396956.7334,2366412.4731888827
0.0012162653735595217,1,1,7400078782711.4932,2357110.220178837,7400079048869.8232,2357349.0777113782
0.0012209434945299952,1,1,7343466815269.3203,2348081.5515748598,7343467081427.5166,2348320.4092004481
0.0012256396089550966,1,1,7287287890649.0625,2339087.4768785778,7287288156807.127,2339326.3345975708
0.0012303537860430421,1,1,7231538696557.9268,2330127.8635412883,7231538962715.8525,2330366.721354045
0.0012350860952682428,1,1,7176215946037.7197,2321202.5795221613,7176216212195.5127,2321441.4374290425
0.0012398366063723328,1,1,7121316377271.0635,2312311.4932862823,7121316643428.7217,2312550.351287649
0.0012446053893651896,1,1,7066836753389.1553,2303454.4738027263,7066837019546.6758,2303693.3318989421
0.0012493925145259707,1,1,7012773862280.9072,2294631.3905426217,7012774128438.293,2294870.2487340514
0.0012541980524041487,1,1,6959124516403.5977,2285842.113477224,6959124782560.8447,2286080.971764233
0.0012590220738205504,1,1,6905885552594.9502,2277086.5130760032,6905885818752.0625,2277325.3714589593
0.0012638646498684008,1,1,6853053831886.6777,2268364.4603047343,6853054098043.6465,2268603.3187840059
0.0012687258519143705,1,1,6800626239319.4043,2259675.826623593,6800626505476.2373,2259914.6851995517
0.0012736057515996277,1,1,6748599683759.0654,2251020.4839852662,6748599949915.7578,2251259.3426582823
0.0012785044208408947,1,1,6696971097714.6436,2242398.3048330592,6696971363871.1982,2242637.1636035061
0.0012834219318315059,1,1,6645737437157.3672,2233809.1620990206,6645737703313.7822,2234048.020967273
0.001288358357042474,1,1,6594895681341.2305,2225252.9292020667,6594895947497.5049,2225491.7881685002
0.0012933137692235548,1,1,6544442832624.9434,2216729.4800461205,6544443098781.0762,2216968.3391111125
0.0012982882414043259,1,1,6494375916295.1582,2208238.6890182421,6494376182451.1475,2208477.5481821713
0.0013032818468952543,1,1,6444691980391.1758,2199780.4309867928,6444692246547.0234,2200019.2902500397
0.0013082946592887822,1,1,6395388095530.8789,2191354.5812995811,6395388361686.583,2191593.4406625275
0.0013133267524604111,1,1,6346461354738.0391,2182961.0157820289,6346461620893.6006,2183199.875245058
0.0013183782005697889,1,1,6297908873270.957,2174599.6107353396,6297909139426.374,2174838.4702988355
0.0013234490780618044,1,1,6249727788452.3906,2166270.2429346768,6249728054607.6641,2166509.1025990266
0.0013285394596676834,1,1,6201915259500.8008,2157972.7896273481,6201915525655.9258,2158211.6493929387
0.0013336494204060903,1,1,6154468467362.8711,2149707.128530995,6154468733517.8525,2149945.9883982167
