source,epsilon,epsilon_label,scale_exponent,norm_scale,norm_scale_label,x_index,n,candidate_id,verify_rank,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_acc_ci_low,test_acc_ci_high,source_job_dir,point_id,bootstrap_key,bootstrap_val_key
figure5_final_add,0.0001,$\epsilon=10^{-4}$,-6,0.015625,$2^{-6}$,0,10,91,5,4,0.001,0.001,0.25,none,77.09010238647461,1.7621689500325195,77.09010391235351,2.9032611675931372,75.33161085128783,78.6558349609375,historical/paper_experiments/figure5_final_add/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.015625/smoother=hoa/backbone=sage/use_nfr=false,f4_07be8c8580e7d069,0.0001|-6,0.0001|-6
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,-5,0.03125,$2^{-5}$,1,10,91,5,4,0.001,0.001,0.25,none,76.97193450927735,1.9452584001238773,76.9571647644043,3.1163443950564593,75.09527507781982,78.74446029663086,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.03125/smoother=hoa/backbone=sage/use_nfr=false,f4_d242a7c2184a1809,0.0001|-5,0.0001|-5
figure5_final_add,0.0001,$\epsilon=10^{-4}$,-4,0.0625,$2^{-4}$,2,10,91,5,4,0.001,0.001,0.25,none,77.0457893371582,1.8253514372469677,77.17873001098633,2.719415718554377,75.47968976974488,78.71528856277466,historical/paper_experiments/figure5_final_add/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.0625/smoother=hoa/backbone=sage/use_nfr=false,f4_60cc039190ed991d,0.0001|-4,0.0001|-4
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,-3,0.125,$2^{-3}$,3,10,91,5,4,0.001,0.001,0.25,none,76.94239196777343,1.992053486446901,77.14918746948243,2.8945653193886867,75.27289428710937,78.68574676513673,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.125/smoother=hoa/backbone=sage/use_nfr=false,f4_c6969dd6ed3ae673,0.0001|-3,0.0001|-3
figure5_final,0.0001,$\epsilon=10^{-4}$,-2,0.25,$2^{-2}$,4,10,91,5,4,0.001,0.001,0.25,none,77.01624755859375,1.8359453907545098,77.14918746948243,2.968167836558459,75.21344144821167,78.80391538619996,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.25/smoother=hoa/backbone=sage/use_nfr=false,f4_b1b5261fea825454,0.0001|-2,0.0001|-2
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,-1,0.5,$2^{-1}$,5,10,91,4,4,0.001,0.001,0.25,none,76.91285018920898,1.9372665263275701,77.2525848388672,2.706682372070796,75.50849151611328,78.70051723480225,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.5/smoother=hoa/backbone=sage/use_nfr=false,f4_fb0bab4baf7769f4,0.0001|-1,0.0001|-1
figure5_final,0.0001,$\epsilon=10^{-4}$,0,1,$2^{0}$,6,10,91,5,4,0.001,0.001,0.25,none,76.94239196777343,1.9502381535910032,76.9571632385254,3.2763770877445877,75.00701597213745,78.77437211990356,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=1/smoother=hoa/backbone=sage/use_nfr=false,f4_79867991218b8647,0.0001|0,0.0001|0
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,1,2,$2^{1}$,7,10,91,5,4,0.001,0.001,0.25,none,76.88330841064453,2.02440489037962,77.0014762878418,2.63134027393814,75.28766479492187,78.41986696243286,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=2/smoother=hoa/backbone=sage/use_nfr=false,f4_10ce90d540589ef2,0.0001|1,0.0001|1
figure5_final,0.0001,$\epsilon=10^{-4}$,2,4,$2^{2}$,8,10,91,4,4,0.001,0.001,0.25,none,76.9571632385254,1.9546448073442158,76.79468231201172,3.593580946037871,74.41580429077148,78.56794666290283,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=4/smoother=hoa/backbone=sage/use_nfr=false,f4_b2c5294e956e12c6,0.0001|2,0.0001|2
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,3,8,$2^{3}$,9,10,91,5,4,0.001,0.001,0.25,none,76.98670654296875,2.002189305102601,77.31166915893554,2.3789096562286063,75.92319030761719,78.62629318237305,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=8/smoother=hoa/backbone=sage/use_nfr=false,f4_e7e7b629c67d5a04,0.0001|3,0.0001|3
figure5_final,0.0001,$\epsilon=10^{-4}$,4,16,$2^{4}$,10,10,91,4,4,0.001,0.001,0.25,none,77.00147705078125,1.9146090717094606,77.50369262695312,2.7791989513628215,75.79025190353394,78.95125352859496,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=16/smoother=hoa/backbone=sage/use_nfr=false,f4_d20421d034222dc0,0.0001|4,0.0001|4
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,5,32,$2^{5}$,11,10,88,2,4,0.001,0.0001,0.25,none,76.94239349365235,1.9798455432558888,77.01624908447266,2.5040196448164838,75.49446256637573,78.43426820755005,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=32/smoother=hoa/backbone=sage/use_nfr=false,f4_401edaf8faa8d2a5,0.0001|5,0.0001|5
figure5_final,0.0001,$\epsilon=10^{-4}$,6,64,$2^{6}$,12,10,88,5,4,0.001,0.0001,0.25,none,76.88330841064453,1.9312515449926042,77.10487442016601,2.8301550866936167,75.5243720817566,78.65620346069336,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=64/smoother=hoa/backbone=sage/use_nfr=false,f4_7d322f868aa85d7a,0.0001|6,0.0001|6
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,7,128,$2^{7}$,13,10,88,5,4,0.001,0.0001,0.25,none,77.20827026367188,1.780782044110966,76.75036849975587,2.5069235169295565,75.18279108047486,78.06499101638794,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=128/smoother=hoa/backbone=sage/use_nfr=false,f4_ec4ba4670b68d437,0.0001|7,0.0001|7
figure5_final,0.0001,$\epsilon=10^{-4}$,8,256,$2^{8}$,14,10,88,3,4,0.001,0.0001,0.25,none,77.25258407592773,1.9756182775889024,76.82422332763672,2.6169264980308604,75.19940870285035,78.2127014350891,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=256/smoother=hoa/backbone=sage/use_nfr=false,f4_343cced536511cd2,0.0001|8,0.0001|8
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,9,512,$2^{9}$,15,10,91,5,4,0.001,0.001,0.25,none,77.51846313476562,1.7081709315061988,77.79911346435547,2.0878387981466275,76.54283597946167,78.78914337158203,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=512/smoother=hoa/backbone=sage/use_nfr=false,f4_1fca69b6b424404c,0.0001|9,0.0001|9
figure5_final,0.0001,$\epsilon=10^{-4}$,10,1024,$2^{10}$,16,10,85,1,4,0.001,0,0.25,none,77.7400276184082,1.6375229513389795,77.31166763305664,2.167762545793026,75.93759078979492,78.4641799545288,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=1024/smoother=hoa/backbone=sage/use_nfr=false,f4_8bef415b7a1f4dd6,0.0001|10,0.0001|10
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,11,2048,$2^{11}$,17,10,91,3,4,0.001,0.001,0.25,none,77.3264404296875,1.9648517211268004,77.81388473510742,2.3238534562508684,76.29172744750976,78.98116685867309,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=2048/smoother=hoa/backbone=sage/use_nfr=false,f4_f5c1d7531251770f,0.0001|11,0.0001|11
figure5_final,0.0001,$\epsilon=10^{-4}$,12,4096,$2^{12}$,18,10,251,3,64,0.0001,0.01,0.5,none,82.0088623046875,1.6881853176336117,82.42245101928711,2.0000082107857065,81.28471143722534,83.57459110260011,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=4096/smoother=hoa/backbone=sage/use_nfr=false,f4_8342a26ebbd3f9ee,0.0001|12,0.0001|12
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,13,8192,$2^{13}$,19,10,242,2,64,0.0001,0,0.5,none,83.92909774780273,0.9567668545255461,84.31314544677734,1.2626142029101712,83.64807819366456,84.99261322021485,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=8192/smoother=hoa/backbone=sage/use_nfr=false,f4_4e9b38407b2d9cc6,0.0001|13,0.0001|13
figure5_final,0.0001,$\epsilon=10^{-4}$,14,16384,$2^{14}$,20,10,232,5,64,0.001,0.0001,0.25,none,82.70310134887696,1.7538952654035282,83.54505081176758,1.4358260394066895,82.62924575805664,84.37296829223634,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=16384/smoother=hoa/backbone=sage/use_nfr=false,f4_f1a90c3d9ef1c64b,0.0001|14,0.0001|14
figure5_final_add_again,0.0001,$\epsilon=10^{-4}$,15,32768,$2^{15}$,21,10,228,1,64,0.01,0.01,0.75,none,84.71196365356445,1.232397588991725,84.7415054321289,1.1271886547941141,84.07680816650391,85.36188888549805,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=32768/smoother=hoa/backbone=sage/use_nfr=false,f4_08f8b325074aa01b,0.0001|15,0.0001|15
