source,epsilon,epsilon_label,tao2,delta,delta_label,x_index,n,candidate_id,verify_ranks,x_steps,learning_rate,weight_decay,dropout,candidate_tao2,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_acc_ci_low,test_acc_ci_high,point_id
figure6,0.0001,$\epsilon=10^{-4}$,0.5,0.5,$2^{-1}$,0,10,91,5|5|5|5|5|5|5|5|5|5,4,0.001,0.001,0.25,0.5,76.88330841064453,1.9942424017867133,76.82422485351563,2.8416516453021257,74.96307371139527,78.4047264289856,f5_6179ca57b29209cd
figure6,0.0001,$\epsilon=10^{-4}$,0.75,0.25,$2^{-2}$,1,10,94,5|5|5|5|5|5|5|5|5|5,4,0.001,0.01,0.25,0.75,76.94239120483398,1.952722761568478,77.07533264160156,2.734129759547231,75.40546493530273,78.75960084915161,f5_a11121e97f259abf
figure6,0.0001,$\epsilon=10^{-4}$,0.875,0.125,$2^{-3}$,2,10,91,5|5|5|5|5|5|5|5|5|5,4,0.001,0.001,0.25,0.875,77.07533264160156,1.9593533756931614,77.20827255249023,2.596093571607504,75.62777099609374,78.62629396438598,f5_365b10b1aa6f68f3
figure6,0.0001,$\epsilon=10^{-4}$,0.9375,0.0625,$2^{-4}$,3,10,88,3|3|3|3|3|3|3|3|3|3,4,0.001,0.0001,0.25,0.9375,76.97193450927735,1.881915763157383,77.17872924804688,3.0726693307881847,75.19940948486328,78.78951190948486,f5_d45213f96022480d
figure6,0.0001,$\epsilon=10^{-4}$,0.96875,0.03125,$2^{-5}$,4,10,88,2|2|2|2|2|2|2|2|2|2,4,0.001,0.0001,0.25,0.96875,77.00147705078125,1.9360149519762586,76.92762298583985,2.6549552208521257,75.25849531173706,78.3308708190918,f5_3fc1980c885956bd
figure6,0.0001,$\epsilon=10^{-4}$,0.984375,0.015625,$2^{-6}$,5,10,88,5|5|5|5|5|5|5|5|5|5,4,0.001,0.0001,0.25,0.984375,76.9867057800293,1.7667722199763338,76.89807968139648,3.3849742337055897,74.82865592956543,78.70051727294923,f5_fac01d89a591f5e0
figure6,0.0001,$\epsilon=10^{-4}$,0.9921875,0.0078125,$2^{-7}$,6,10,88,5|5|5|5|5|5|5|5|5|5,4,0.001,0.0001,0.25,0.9921875,77.19349899291993,1.8582576178951464,76.6322006225586,2.627419769463905,75.08087083816528,77.99150621414185,f5_e1fc189944e585a2
figure6,0.0001,$\epsilon=10^{-4}$,0.99609375,0.00390625,$2^{-8}$,7,10,91,4|4|4|4|4|4|4|4|4|4,4,0.001,0.001,0.25,0.99609375,77.22304306030273,1.8823680593619425,76.88330764770508,2.5204743554188656,75.36188886642456,78.21307222366333,f5_aabd69c57b7332ab
figure6,0.0001,$\epsilon=10^{-4}$,0.998046875,0.001953125,$2^{-9}$,8,10,85,5|5|5|5|5|5|5|5|5|5,4,0.001,0,0.25,0.998046875,77.45937957763672,1.6699931571628441,77.14918746948243,2.7800720352829322,75.24372253417968,78.52326580047607,f5_006d9afd68260194
figure6_add,0.0001,$\epsilon=10^{-4}$,0.9990234375,0.0009765625,$2^{-10}$,9,10,85,1|1|1|1|1|1|1|1|1|1,4,0.001,0,0.25,0.9990234375,77.71048583984376,1.6572415177339166,77.41506576538086,2.0377744892596303,76.10007396697999,78.41949617385863,f5_a032a495509ee05f
figure6_add,0.0001,$\epsilon=10^{-4}$,0.99951171875,0.00048828125,$2^{-11}$,10,10,251,2|2|2|2|2|2|2|2|2|2,64,0.0001,0.01,0.5,0.99951171875,77.42983627319336,3.372489168579843,77.85819778442382,4.010580994016918,75.4944595336914,79.94128570556641,f5_f951697edaf93ddb
figure6_add,0.0001,$\epsilon=10^{-4}$,0.999755859375,0.000244140625,$2^{-12}$,11,10,251,5|5|5|5|5|5|5|5|5|5,64,0.0001,0.01,0.5,0.999755859375,82.0088623046875,1.6621355970554366,82.39290847778321,2.0118521618098573,81.24076765060425,83.57533113479614,f5_ffb1daa05575a41c
figure6_add,0.0001,$\epsilon=10^{-4}$,0.9998779296875,0.0001220703125,$2^{-13}$,12,10,242,3|3|3|3|3|3|3|3|3|3,64,0.0001,0,0.5,0.999877929688,83.84047241210938,0.9476004575319139,84.26883239746094,1.3050083852033256,83.48596725463867,85.02215503692628,f5_dce3426c1360b5f4
figure6_add,0.0001,$\epsilon=10^{-4}$,0.99993896484375,0.00006103515625,$2^{-14}$,13,10,235,5|5|5|5|5|5|5|5|5|5,64,0.001,0.001,0.25,0.999938964844,82.6735595703125,1.7127765762932359,83.58936309814453,1.4496879720259452,82.71787185668946,84.37259901046754,f5_9527fb431175a6e2
figure6_add_again,0.0001,$\epsilon=10^{-4}$,0.999969482421875,0.000030517578125,$2^{-15}$,14,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.999969482422,84.78581924438477,1.317486268283408,85.09601058959962,1.3934105014872396,84.28360366821289,85.93833003997803,f5_53654420e2268b15
figure6_add_again,0.0001,$\epsilon=10^{-4}$,0.9999847412109375,0.0000152587890625,$2^{-16}$,15,10,156,3|3|3|3|3|3|3|3|3|3,16,0.01,0.01,0.75,0.999984741211,84.91875991821288,1.2189465796555794,85.0516975402832,0.7747560969117632,84.5638832092285,85.4656562614441,f5_48a7c1a6529acf8d
figure6,0.001,$\epsilon=10^{-3}$,0.5,0.5,$2^{-1}$,0,10,88,1|1|1|1|1|1|1|1|1|1,4,0.001,0.0001,0.25,0.5,77.09010238647461,2.074325354060463,77.14918823242188,3.41623472412754,75.0505912399292,79.01107942581177,f5_9a66750b0cdb54fc
figure6,0.001,$\epsilon=10^{-3}$,0.75,0.25,$2^{-2}$,1,10,88,4|4|4|4|4|4|4|4|4|4,4,0.001,0.0001,0.25,0.75,77.0457893371582,2.049340542585475,77.04579010009766,3.314046093342833,74.91838836669922,78.90731351852418,f5_b7b5164110b1ddf6
figure6,0.001,$\epsilon=10^{-3}$,0.875,0.125,$2^{-3}$,2,10,88,5|5|5|5|5|5|5|5|5|5,4,0.001,0.0001,0.25,0.875,77.04579010009766,2.0099245503465184,77.07533187866211,3.0429796792933734,75.21381071090698,78.83308641433716,f5_bfc563202482a480
figure6,0.001,$\epsilon=10^{-3}$,0.9375,0.0625,$2^{-4}$,3,10,88,2|2|2|2|2|2|2|2|2|2,4,0.001,0.0001,0.25,0.9375,77.00147705078125,1.9608999656117854,77.44460830688476,2.941091411658719,75.67208328247071,78.95125579833984,f5_e501e72ebf0133fc
figure6,0.001,$\epsilon=10^{-3}$,0.96875,0.03125,$2^{-5}$,4,10,85,3|3|3|3|3|3|3|3|3|3,4,0.001,0,0.25,0.96875,77.23781356811523,1.8336338781445083,77.17873001098633,2.6726579827876393,75.47968978881836,78.7149200630188,f5_0ccd43e8376574a2
figure6,0.001,$\epsilon=10^{-3}$,0.984375,0.015625,$2^{-6}$,5,10,94,4|4|4|4|4|4|4|4|4|4,4,0.001,0.01,0.25,0.984375,77.3412109375,1.9437020958076496,77.44460678100586,2.4020817424630665,75.89290767669678,78.64143068313598,f5_32c0f9397746bd05
figure6,0.001,$\epsilon=10^{-3}$,0.9921875,0.0078125,$2^{-7}$,6,10,94,5|5|5|5|5|5|5|5|5|5,4,0.001,0.01,0.25,0.9921875,77.51846237182617,1.608770692992514,77.47415084838867,2.6762824749552143,75.84822839736938,78.77437358856201,f5_5a8735cd57871823
figure6,0.001,$\epsilon=10^{-3}$,0.99609375,0.00390625,$2^{-8}$,7,10,245,4|4|4|4|4|4|4|4|4|4,64,0.0001,0.0001,0.5,0.99609375,78.9660255432129,3.1834562586840183,79.48301239013672,3.4637325535165937,77.38552398681641,81.31462177276612,f5_d314bd6590a638e3
figure6,0.001,$\epsilon=10^{-3}$,0.998046875,0.001953125,$2^{-9}$,8,10,242,4|4|4|4|4|4|4|4|4|4,64,0.0001,0,0.5,0.998046875,82.93943786621094,1.3595958655855793,83.24962921142578,1.9721783840064142,82.08197784423828,84.37222826004027,f5_3374d7fac8fb04a6
figure6_add,0.001,$\epsilon=10^{-3}$,0.9990234375,0.0009765625,$2^{-10}$,9,10,214,4|4|4|4|4|4|4|4|4|4,32,0.0001,0.01,0.25,0.9990234375,83.24962997436523,1.0656117334954822,83.76661529541016,1.2327905848290253,83.10154802322387,84.50516666412354,f5_ce1b0134dd83803e
figure6_add,0.001,$\epsilon=10^{-3}$,0.99951171875,0.00048828125,$2^{-11}$,10,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.99951171875,84.22451858520508,1.2702711246419074,84.09157867431641,2.0456110103265353,82.92429582595825,85.20014574050903,f5_93b03560b3659eb3
figure6_add,0.001,$\epsilon=10^{-3}$,0.999755859375,0.000244140625,$2^{-12}$,11,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.999755859375,84.97784271240235,1.2181524845802398,84.99261322021485,1.3030561190097456,84.15029373168944,85.67245100021363,f5_7345771e6e44e80a
figure6_add,0.001,$\epsilon=10^{-3}$,0.9998779296875,0.0001220703125,$2^{-13}$,12,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.999877929688,84.7119644165039,1.7243432929606763,84.83013229370117,1.9695332622623467,83.4412857055664,85.76070785522461,f5_339b1d156a1ca0b5
figure6_add,0.001,$\epsilon=10^{-3}$,0.99993896484375,0.00006103515625,$2^{-14}$,13,10,228,2|2|2|2|2|2|2|2|2|2,64,0.01,0.01,0.75,0.999938964844,84.90398559570312,1.692486436207376,84.7267333984375,1.966023576646713,83.50036695480347,85.7906181526184,f5_3ec641e471326965
figure6_add_again,0.001,$\epsilon=10^{-3}$,0.999969482421875,0.000030517578125,$2^{-15}$,14,10,226,2|2|2|2|2|2|2|2|2|2,64,0.01,0.01,0.25,0.999969482422,84.81536026000977,1.3605763356877318,85.16986618041992,1.1841436798123672,84.49002838134766,85.87887649536133,f5_e8f6a8359c9a5df3
figure6_add_again,0.001,$\epsilon=10^{-3}$,0.9999847412109375,0.0000152587890625,$2^{-16}$,15,10,204,5|5|5|5|5|5|5|5|5|5,32,0.001,0.01,0.75,0.999984741211,85.02215576171875,1.560427612361282,85.12555389404297,1.1590010821682066,84.4457160949707,85.70199356079102,f5_0a02cf42bb4abb1d
figure6,0.01,$\epsilon=10^{-2}$,0.5,0.5,$2^{-1}$,0,10,88,4|4|4|4|4|4|4|4|4|4,4,0.001,0.0001,0.25,0.5,77.13441696166993,2.0118527095124974,77.00147705078125,2.935317836934127,75.19903869628907,78.61152267456055,f5_05715f2d2f3f6837
figure6,0.01,$\epsilon=10^{-2}$,0.75,0.25,$2^{-2}$,1,10,94,2|2|2|2|2|2|2|2|2|2,4,0.001,0.01,0.25,0.75,77.2821273803711,2.0712278474191548,76.3220100402832,2.8634089764337394,74.50480115890502,77.8585693359375,f5_bc39eb2c8b1f32fd
figure6,0.01,$\epsilon=10^{-2}$,0.875,0.125,$2^{-3}$,2,10,94,5|5|5|5|5|5|5|5|5|5,4,0.001,0.01,0.25,0.875,77.57754821777344,1.938205149939837,77.40029525756836,2.7156252014098534,75.68685300827026,78.84785844802856,f5_fead86d1c3bb5794
figure6,0.01,$\epsilon=10^{-2}$,0.9375,0.0625,$2^{-4}$,3,10,211,5|5|5|5|5|5|5|5|5|5,32,0.0001,0.001,0.25,0.9375,76.52880325317383,3.0964056455126827,77.19350051879883,3.462857140708858,75.1403259086609,79.17318956375122,f5_e688bd0ae9b8f6fc
figure6,0.01,$\epsilon=10^{-2}$,0.96875,0.03125,$2^{-5}$,4,10,250,5|5|5|5|5|5|5|5|5|5,64,0.0001,0.01,0.25,0.96875,81.43279113769532,1.9522255977866891,82.23042678833008,1.9057256472877337,81.19460674285888,83.41247941970825,f5_50841de2b9019571
figure6,0.01,$\epsilon=10^{-2}$,0.984375,0.015625,$2^{-6}$,5,10,242,4|4|4|4|4|4|4|4|4|4,64,0.0001,0,0.5,0.984375,83.35302658081055,1.094453974017885,83.72230453491211,1.3078836930258797,82.93906938552855,84.50517044067382,f5_54c08c16c5816977
figure6,0.01,$\epsilon=10^{-2}$,0.9921875,0.0078125,$2^{-7}$,6,10,206,2|2|2|2|2|2|2|2|2|2,32,0.0001,0,0.5,0.9921875,83.72230224609375,0.8203507805856963,84.26883163452149,1.465984128669375,83.48596649169922,85.2592300605774,f5_e7b060ebc2ca1821
figure6,0.01,$\epsilon=10^{-2}$,0.99609375,0.00390625,$2^{-8}$,7,10,227,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.5,0.99609375,84.65288009643555,1.1366135967455087,84.62333602905274,1.0220648388786333,83.9881805419922,85.19940643310547,f5_d428e96a23e2c8f0
figure6,0.01,$\epsilon=10^{-2}$,0.998046875,0.001953125,$2^{-9}$,8,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.998046875,84.91875839233398,1.1988944726381858,84.84490432739258,1.5274521513769714,84.04726791381836,85.68759309768677,f5_c013194202972c17
figure6_add,0.01,$\epsilon=10^{-2}$,0.9990234375,0.0009765625,$2^{-10}$,9,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.9990234375,84.80058975219727,1.8806271263593026,84.97784194946288,1.9732243568911345,83.6923911857605,85.95273208618164,f5_cbbd2136d85c0c07
