source,source_manifest,source_job_dir,backbone,dataset,x_eps,x_index,line_label,pipeline,smoother,feature_dim,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,test_acc_mean,test_acc_ci_low,test_acc_ci_high,test_acc_std,test_acc_min,test_acc_max,val_acc_mean,val_acc_ci_low,val_acc_ci_high,n,actual_verify_rank,ci_method,point_id,bootstrap_key,bootstrap_val_key
figure1_heter,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/manifest.csv,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,gcn,actor,0.001,0,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,206,32,0.0001,0,0.5,none,25.37894649505615,24.220788636207583,26.37894630432129,1.857960226019954,22.157894134521484,28.0,25.115788459777832,24.557893371582033,25.689604730606078,10,5,bootstrap_95pct,f6_3c397a6ca91f8aa3,test|figure1_heter|gcn|actor|figure3_pipeline1|0.001,val|figure1_heter|gcn|actor|figure3_pipeline1|0.001
figure1_heter,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/manifest.csv,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=0.01/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,gcn,actor,0.01,1,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,214,32,0.0001,0.01,0.25,none,25.426314544677734,24.246840777397153,26.31105125427246,1.72509767579631,21.368419647216797,27.368419647216797,24.76842041015625,23.58302524089813,25.768551998138427,10,1,bootstrap_95pct,f6_8abe6985b611173f,test|figure1_heter|gcn|actor|figure3_pipeline1|0.01,val|figure1_heter|gcn|actor|figure3_pipeline1|0.01
figure1_heter,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/manifest.csv,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=0.1/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,gcn,actor,0.1,2,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,241,64,0.0001,0,0.25,none,25.1368408203125,24.33657784938812,26.05276162147522,1.4414173538176256,22.6842098236084,27.421051025390625,25.473683547973632,25.042104716300965,25.968683943748474,10,5,bootstrap_95pct,f6_4a5f014428e1fabd,test|figure1_heter|gcn|actor|figure3_pipeline1|0.1,val|figure1_heter|gcn|actor|figure3_pipeline1|0.1
figure1_heter,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/manifest.csv,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,gcn,actor,1.0,3,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,194,32,0.001,0,0.5,none,25.778946113586425,25.45789318084717,26.105393743515013,0.5764433819207031,25.105262756347656,26.52631378173828,26.268419647216795,25.778815093040468,26.784472217559816,10,4,bootstrap_95pct,f6_097315668d4615ff,test|figure1_heter|gcn|actor|figure3_pipeline1|1.0,val|figure1_heter|gcn|actor|figure3_pipeline1|1.0
figure1_heter,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/manifest.csv,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,gcn,actor,2.0,4,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,168,16,0.001,0.01,0.75,none,25.631578063964845,25.078946485519406,26.337104544639587,1.0751968640959366,24.210525512695312,28.26315689086914,25.873683547973634,25.442104716300964,26.28434157371521,10,1,bootstrap_95pct,f6_ce3a07273cb67eff,test|figure1_heter|gcn|actor|figure3_pipeline1|2.0,val|figure1_heter|gcn|actor|figure3_pipeline1|2.0
figure1_heter,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/manifest.csv,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=3/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,gcn,actor,3.0,5,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,170,16,0.0001,0,0.5,none,25.157893562316893,24.615788073539736,25.68434082984924,0.9437877327846071,23.31578826904297,26.736841201782227,25.773683166503908,25.28907784461975,26.273815298080443,10,5,bootstrap_95pct,f6_0f10dd532dceb51f,test|figure1_heter|gcn|actor|figure3_pipeline1|3.0,val|figure1_heter|gcn|actor|figure3_pipeline1|3.0
figure1_heter,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/manifest.csv,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=4/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,gcn,actor,4.0,6,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,123,8,0.001,0,0.75,none,24.88420925140381,24.362630205154417,25.394866914749144,0.9388173705486067,23.368419647216797,26.26315689086914,25.63157730102539,25.305261416435243,25.95789318561554,10,3,bootstrap_95pct,f6_c30943a79e2c4d67,test|figure1_heter|gcn|actor|figure3_pipeline1|4.0,val|figure1_heter|gcn|actor|figure3_pipeline1|4.0
figure1_heter,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/manifest.csv,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=6/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,gcn,actor,6.0,7,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,203,32,0.001,0.01,0.5,none,25.91052532196045,25.526184091567995,26.368683557510376,0.7203885712863399,25.15789222717285,27.63157844543457,26.00526237487793,25.457893943786623,26.552762570381166,10,5,bootstrap_95pct,f6_d4e8ab5e174c16cc,test|figure1_heter|gcn|actor|figure3_pipeline1|6.0,val|figure1_heter|gcn|actor|figure3_pipeline1|6.0
figure1_heter,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/manifest.csv,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=8/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,gcn,actor,8.0,8,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,165,16,0.001,0.001,0.75,none,25.447367477416993,25.11052550792694,25.75789394378662,0.5653644492180906,24.63157844543457,26.210525512695312,26.13157787322998,25.54170922756195,26.700262203216553,10,1,bootstrap_95pct,f6_b8e597ba13eb10a3,test|figure1_heter|gcn|actor|figure3_pipeline1|8.0,val|figure1_heter|gcn|actor|figure3_pipeline1|8.0
figure1_heter,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/manifest.csv,historical/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,gcn,actor,10.0,9,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,240,64,0.001,0.01,0.75,none,26.18947277069092,25.41052531719208,26.989998903274536,1.328059842165268,24.31578826904297,28.736841201782227,25.91578826904297,25.36842002391815,26.432236137390138,10,1,bootstrap_95pct,f6_945fa0c0d6600937,test|figure1_heter|gcn|actor|figure3_pipeline1|10.0,val|figure1_heter|gcn|actor|figure3_pipeline1|10.0
