table,setting,dataset,backbone,feature_dim,smoother,seed,val_acc,test_acc
table4,FeatFree-P,cora,gat,,,12345,83.4564208984375,85.37666320800781
table4,FeatFree-P,cora,gat,,,12346,88.03544616699219,85.22895050048828
table4,FeatFree-P,cora,gat,,,12347,86.1152114868164,87.74002838134766
table4,FeatFree-P,cora,gat,,,12348,88.03544616699219,86.55834197998047
table4,FeatFree-P,cora,gat,,,12349,85.52436828613281,84.78582000732422
table4,FeatFree-P,cora,gat,,,12350,85.22895050048828,85.52436828613281
table4,FeatFree-P,cora,gat,,,12351,86.26292419433594,84.49039459228516
table4,FeatFree-P,cora,gat,,,12352,85.96749877929688,86.85376739501953
table4,FeatFree-P,cora,gat,,,12353,84.19497680664062,86.26292419433594
table4,FeatFree-P,cora,gat,,,12354,86.41063690185547,86.26292419433594
table4,FeatFree-P,lastfm,gat,,,12345,89.44098663330078,87.80349731445312
table4,FeatFree-P,lastfm,gat,,,12346,88.65047454833984,89.32806396484375
table4,FeatFree-P,lastfm,gat,,,12347,89.21512603759766,89.44098663330078
table4,FeatFree-P,lastfm,gat,,,12348,89.32806396484375,89.4974594116211
table4,FeatFree-P,lastfm,gat,,,12349,89.1586685180664,87.35177612304688
table4,FeatFree-P,lastfm,gat,,,12350,88.08582305908203,88.76341247558594
table4,FeatFree-P,lastfm,gat,,,12351,88.4810791015625,88.36815643310547
table4,FeatFree-P,lastfm,gat,,,12352,88.14229583740234,87.52117156982422
table4,FeatFree-P,lastfm,gat,,,12353,88.4810791015625,87.23884582519531
table4,FeatFree-P,lastfm,gat,,,12354,90.00564575195312,87.8599624633789
table4,FeatFree-P,citeseer,gat,,,12345,71.39423370361328,72.23558044433594
table4,FeatFree-P,citeseer,gat,,,12346,71.6346206665039,69.83173370361328
table4,FeatFree-P,citeseer,gat,,,12347,71.27404022216797,69.35096740722656
table4,FeatFree-P,citeseer,gat,,,12348,71.15384674072266,70.0721206665039
table4,FeatFree-P,citeseer,gat,,,12349,69.47115325927734,68.5096206665039
table4,FeatFree-P,citeseer,gat,,,12350,68.62981414794922,69.23077392578125
table4,FeatFree-P,citeseer,gat,,,12351,70.3125,69.23077392578125
table4,FeatFree-P,citeseer,gat,,,12352,72.71634674072266,68.3894271850586
table4,FeatFree-P,citeseer,gat,,,12353,73.31731414794922,69.47115325927734
table4,FeatFree-P,citeseer,gat,,,12354,68.62981414794922,70.0721206665039
table4,FeatFree-P,facebook,gat,,,12345,94.67782592773438,93.84122467041016
table4,FeatFree-P,facebook,gat,,,12346,94.62442016601562,93.93022918701172
table4,FeatFree-P,facebook,gat,,,12347,94.58882141113281,94.19722747802734
table4,FeatFree-P,facebook,gat,,,12348,94.44641876220703,94.16162109375
table4,FeatFree-P,facebook,gat,,,12349,93.87682342529297,93.85902404785156
table4,FeatFree-P,facebook,gat,,,12350,94.99822235107422,93.98362731933594
table4,FeatFree-P,facebook,gat,,,12351,93.89462280273438,93.69882202148438
table4,FeatFree-P,facebook,gat,,,12352,94.32182312011719,93.91242218017578
table4,FeatFree-P,facebook,gat,,,12353,94.1794204711914,94.09042358398438
table4,FeatFree-P,facebook,gat,,,12354,94.92701721191406,93.89462280273438
table4,FeatFree-P,cora,gcn,,,12345,84.49039459228516,85.52436828613281
table4,FeatFree-P,cora,gcn,,,12346,86.85376739501953,85.08123779296875
table4,FeatFree-P,cora,gcn,,,12347,86.41063690185547,87.2968978881836
table4,FeatFree-P,cora,gcn,,,12348,88.18315887451172,85.96749877929688
table4,FeatFree-P,cora,gcn,,,12349,85.52436828613281,85.96749877929688
table4,FeatFree-P,cora,gcn,,,12350,84.63810729980469,84.19497680664062
table4,FeatFree-P,cora,gcn,,,12351,86.1152114868164,85.52436828613281
table4,FeatFree-P,cora,gcn,,,12352,85.81979370117188,86.55834197998047
table4,FeatFree-P,cora,gcn,,,12353,84.19497680664062,86.41063690185547
table4,FeatFree-P,cora,gcn,,,12354,86.1152114868164,86.1152114868164
table4,FeatFree-P,lastfm,gcn,,,12345,89.4974594116211,87.8599624633789
table4,FeatFree-P,lastfm,gcn,,,12346,89.04573059082031,89.83625030517578
table4,FeatFree-P,lastfm,gcn,,,12347,88.76341247558594,89.21512603759766
table4,FeatFree-P,lastfm,gcn,,,12348,89.61038208007812,89.55392456054688
table4,FeatFree-P,lastfm,gcn,,,12349,89.27159881591797,87.40824127197266
table4,FeatFree-P,lastfm,gcn,,,12350,88.36815643310547,89.61038208007812
table4,FeatFree-P,lastfm,gcn,,,12351,88.19876098632812,88.76341247558594
table4,FeatFree-P,lastfm,gcn,,,12352,88.25521850585938,88.76341247558594
table4,FeatFree-P,lastfm,gcn,,,12353,88.53755187988281,87.91642761230469
table4,FeatFree-P,lastfm,gcn,,,12354,90.00564575195312,87.8599624633789
table4,FeatFree-P,citeseer,gcn,,,12345,71.15384674072266,71.875
table4,FeatFree-P,citeseer,gcn,,,12346,71.39423370361328,70.19231414794922
table4,FeatFree-P,citeseer,gcn,,,12347,71.15384674072266,68.26923370361328
table4,FeatFree-P,citeseer,gcn,,,12348,70.0721206665039,70.19231414794922
table4,FeatFree-P,citeseer,gcn,,,12349,69.71154022216797,68.75
table4,FeatFree-P,citeseer,gcn,,,12350,67.78846740722656,68.62981414794922
table4,FeatFree-P,citeseer,gcn,,,12351,70.3125,68.75
table4,FeatFree-P,citeseer,gcn,,,12352,72.83654022216797,68.26923370361328
table4,FeatFree-P,citeseer,gcn,,,12353,72.71634674072266,69.83173370361328
table4,FeatFree-P,citeseer,gcn,,,12354,68.3894271850586,70.43269348144531
table4,FeatFree-P,facebook,gcn,,,12345,94.62442016601562,94.03702545166016
table4,FeatFree-P,facebook,gcn,,,12346,94.83802032470703,94.14382934570312
table4,FeatFree-P,facebook,gcn,,,12347,94.64221954345703,94.14382934570312
table4,FeatFree-P,facebook,gcn,,,12348,94.14382934570312,94.7312240600586
table4,FeatFree-P,facebook,gcn,,,12349,94.03702545166016,94.66001892089844
table4,FeatFree-P,facebook,gcn,,,12350,95.35421752929688,93.98362731933594
table4,FeatFree-P,facebook,gcn,,,12351,93.80562591552734,93.82342529296875
table4,FeatFree-P,facebook,gcn,,,12352,94.26842498779297,93.84122467041016
table4,FeatFree-P,facebook,gcn,,,12353,94.7490234375,94.3396224975586
table4,FeatFree-P,facebook,gcn,,,12354,94.64221954345703,94.10822296142578
table4,FeatFree-P,cora,sage,,,12345,84.78582000732422,85.37666320800781
table4,FeatFree-P,cora,sage,,,12346,88.18315887451172,85.22895050048828
table4,FeatFree-P,cora,sage,,,12347,86.26292419433594,87.00147247314453
table4,FeatFree-P,cora,sage,,,12348,88.18315887451172,86.1152114868164
table4,FeatFree-P,cora,sage,,,12349,85.81979370117188,85.96749877929688
table4,FeatFree-P,cora,sage,,,12350,85.37666320800781,85.08123779296875
table4,FeatFree-P,cora,sage,,,12351,85.96749877929688,83.8995590209961
table4,FeatFree-P,cora,sage,,,12352,85.37666320800781,85.37666320800781
table4,FeatFree-P,cora,sage,,,12353,84.19497680664062,85.96749877929688
table4,FeatFree-P,cora,sage,,,12354,86.26292419433594,87.14918518066406
table4,FeatFree-P,lastfm,sage,,,12345,89.32806396484375,87.8599624633789
table4,FeatFree-P,lastfm,sage,,,12346,88.65047454833984,89.21512603759766
table4,FeatFree-P,lastfm,sage,,,12347,89.27159881591797,89.04573059082031
table4,FeatFree-P,lastfm,sage,,,12348,89.27159881591797,89.55392456054688
table4,FeatFree-P,lastfm,sage,,,12349,89.21512603759766,86.9565200805664
table4,FeatFree-P,lastfm,sage,,,12350,88.19876098632812,89.1586685180664
table4,FeatFree-P,lastfm,sage,,,12351,88.4810791015625,88.31168365478516
table4,FeatFree-P,lastfm,sage,,,12352,88.14229583740234,88.42461395263672
table4,FeatFree-P,lastfm,sage,,,12353,88.81986999511719,87.57764434814453
table4,FeatFree-P,lastfm,sage,,,12354,90.0621109008789,87.972900390625
table4,FeatFree-P,citeseer,sage,,,12345,71.875,71.6346206665039
table4,FeatFree-P,citeseer,sage,,,12346,71.15384674072266,70.0721206665039
table4,FeatFree-P,citeseer,sage,,,12347,71.15384674072266,68.99038696289062
table4,FeatFree-P,citeseer,sage,,,12348,70.55288696289062,69.71154022216797
table4,FeatFree-P,citeseer,sage,,,12349,69.35096740722656,68.26923370361328
table4,FeatFree-P,citeseer,sage,,,12350,67.90865325927734,69.23077392578125
table4,FeatFree-P,citeseer,sage,,,12351,70.67308044433594,68.62981414794922
table4,FeatFree-P,citeseer,sage,,,12352,73.1971206665039,68.26923370361328
table4,FeatFree-P,citeseer,sage,,,12353,72.47596740722656,69.83173370361328
table4,FeatFree-P,citeseer,sage,,,12354,68.5096206665039,71.03365325927734
table4,FeatFree-P,facebook,sage,,,12345,94.78462219238281,94.10822296142578
table4,FeatFree-P,facebook,sage,,,12346,94.99822235107422,94.3752212524414
table4,FeatFree-P,facebook,sage,,,12347,94.90921783447266,94.32182312011719
table4,FeatFree-P,facebook,sage,,,12348,94.5354232788086,94.98041534423828
table4,FeatFree-P,facebook,sage,,,12349,94.14382934570312,94.69562530517578
table4,FeatFree-P,facebook,sage,,,12350,95.24742126464844,94.39302062988281
table4,FeatFree-P,facebook,sage,,,12351,94.39302062988281,94.1794204711914
table4,FeatFree-P,facebook,sage,,,12352,94.44641876220703,94.42861938476562
table4,FeatFree-P,facebook,sage,,,12353,95.12281799316406,94.48202514648438
table4,FeatFree-P,facebook,sage,,,12354,94.9626235961914,94.46422576904297
